state,City,S&E,S&E-related,STEM Middle-skill
AK,AK,0,1,0
AK,ANCHORAGE,0,40,3
AK,Akutan,0,1,0
AK,Anchorage,99,117,55
AK,Angoon,0,1,0
AK,BETHEL,0,4,0
AK,Barrow,2,0,2
AK,Bartlett Cove,1,0,0
AK,Bethel,1,2,1
AK,Chenga Bay,1,0,0
AK,Cordova,1,2,0
AK,Craig,0,3,0
AK,Delta Junction,0,0,1
AK,Denali National Park,0,0,1
AK,Dillingham,0,3,0
AK,Dutch Harbor,1,0,5
AK,EIELSON AFB,0,1,0
AK,Eagle River,0,0,2
AK,Eielson AFB,6,0,8
AK,Eielson Afb,0,0,3
AK,Elmendorf AFB,7,5,5
AK,Elmendorf Afb,0,2,0
AK,FAIRBANKS,0,6,1
AK,Fairbanks,12,25,33
AK,Fort Greely,4,2,3
AK,Fort Richardson,3,2,12
AK,Fort Wainwright,4,7,13
AK,Ft Richardson,1,0,0
AK,Ft Wainwright,2,0,0
AK,Ft. Greely,1,0,0
AK,Galena,0,1,0
AK,Gustavus,0,0,1
AK,HOMER,0,6,0
AK,Haines,1,0,0
AK,Homer,1,3,1
AK,Huntsville,0,0,1
AK,JUNEAU,0,18,0
AK,Juneau,32,37,18
AK,KLAWOCK,0,1,0
AK,KODIAK,1,0,0
AK,KOTZEBUE,0,2,0
AK,Kenai,3,1,3
AK,Ketchikan,1,24,13
AK,Kobuk,0,0,1
AK,Kodiak,0,6,5
AK,Kotzebue,3,16,15
AK,Mc Grath,0,0,1
AK,NOME,0,8,0
AK,Nikiski,1,0,0
AK,Nome,2,13,0
AK,North Pole,0,0,2
AK,North Slope/Remote camp sites,0,0,1
AK,Palmer,3,7,3
AK,Petersburg,0,0,2
AK,Phoenix,0,1,0
AK,Prudhoe Bay,2,2,5
AK,SOLDOTNA,0,2,0
AK,Saint Marys,0,0,1
AK,Seward,1,5,6
AK,Shishmaref,0,1,0
AK,Sitka,0,2,0
AK,Skagway,0,0,3
AK,Soldotna,3,12,0
AK,St.George,0,1,0
AK,Tatitlek,1,0,0
AK,Tok,0,2,0
AK,Trapper Creek,0,0,2
AK,Tuntutuliak,0,0,1
AK,Unalakleet,0,1,0
AK,Unalaska,0,1,0
AK,VALDEZ,0,2,0
AK,Valdez,1,4,2
AK,Varies,0,0,1
AK,Various Locations,0,0,1
AK,WASILLA,0,1,1
AK,Ward Cove,0,0,1
AK,Wasilla,0,8,3
AK,Willow,0,0,1
AL,ANDALUSIA,0,1,0
AL,ANNISTON,2,0,4
AL,ATHENS,0,0,1
AL,AUBURN,0,1,4
AL,AXIS,0,2,1
AL,Abbeville,3,0,3
AL,Adamsville,8,1,2
AL,Alabaster,0,2,3
AL,Albertville,0,0,14
AL,Alex City,0,0,1
AL,Alexander City,9,1,4
AL,Alton,0,0,1
AL,Andalusia,2,4,2
AL,Anniston,19,23,11
AL,Arab,1,1,0
AL,Ardmore,0,1,0
AL,Ashford,3,0,3
AL,Ashland,11,1,2
AL,Ashville,8,2,2
AL,Athens,3,3,2
AL,Atmore,1,0,2
AL,Attalla,9,1,2
AL,Auburn,8,2,15
AL,Autaugaville,3,0,4
AL,BAY MINETTE CONTAINER,0,0,2
AL,BIRMINGHAM,12,7,13
AL,BRUNDIDGE,2,1,11
AL,Bay Minette,1,0,5
AL,Bayou La Batre,1,0,2
AL,Berry,0,0,2
AL,Bessemer,1,8,1
AL,Birmingham,128,143,74
AL,"Birmingham, AL",0,1,0
AL,Blountsville,9,2,6
AL,Boaz,0,3,0
AL,Brewton,1,2,2
AL,Bridgeport,0,0,2
AL,Bucks,2,0,2
AL,CALERA,0,0,1
AL,CENTRE,0,1,0
AL,CHILDERSBURG,0,0,1
AL,COTTONDALE,0,0,1
AL,COTTONTON,2,0,1
AL,CULLMAN,0,2,4
AL,Calera,8,1,2
AL,Calvert,0,0,1
AL,Camden,3,1,3
AL,Capshaw,0,0,1
AL,Center Point,0,1,0
AL,Centre,10,9,2
AL,Centreville,0,2,0
AL,Chelsea,0,0,1
AL,Cherokee,0,0,2
AL,Citronelle,1,0,2
AL,Clanton,4,0,5
AL,Clayton,3,0,3
AL,Collinsville,0,0,1
AL,Columbia,4,0,4
AL,Columbiana,9,1,2
AL,Cottondale,4,0,1
AL,Cottonton,0,1,1
AL,Crossville,0,1,0
AL,Cullman,2,3,6
AL,DALEVILLE,1,0,0
AL,DAPHNE,0,0,1
AL,DECATUR,1,0,0
AL,DES MOINES,1,0,0
AL,DOTHAN,1,4,4
AL,Dadeville,3,0,3
AL,Daleville,3,0,3
AL,Daphne,1,0,2
AL,Decatur,9,8,11
AL,Demopolis,0,1,4
AL,Dora,0,0,1
AL,Dothan,5,69,9
AL,ENTERPRISE,0,0,4
AL,EUFAULA,0,0,2
AL,Eastaboga,2,0,4
AL,Eclectic,0,0,3
AL,Elba,0,0,1
AL,Elberta,0,0,1
AL,Elmore,0,3,0
AL,Ensley,8,1,2
AL,Enterprise,3,23,13
AL,Eufaula,3,1,5
AL,FAIRFIELD,1,0,0
AL,FLORENCE,2,1,1
AL,FOLEY,0,1,0
AL,Fairfield,10,1,4
AL,Fairhope,0,2,1
AL,Falkville,0,0,1
AL,Fayette,0,7,0
AL,Flomaton,1,0,2
AL,Florala,3,0,3
AL,Florence,0,10,19
AL,Foley,2,20,7
AL,Fort Deposit,3,0,3
AL,Fort Meade,1,0,0
AL,Fort Payne,0,13,2
AL,Fort Rucker,5,9,18
AL,Fultondale,0,2,0
AL,GADSDEN,0,0,5
AL,GARDENDALE,0,0,1
AL,GULF SHORES,0,1,0
AL,Gadsden,8,50,7
AL,Gardendale,11,4,3
AL,Geneva,3,0,6
AL,Georgiana,3,0,3
AL,Goodwater,8,1,2
AL,Graysville,0,0,1
AL,Greenville,3,5,3
AL,Grove Hill,1,1,2
AL,Gulf,0,1,0
AL,Gulf Shores,0,1,3
AL,Gunter AFB,8,0,0
AL,Guntersville,1,1,9
AL,HANCEVILLE,0,0,1
AL,HAZEL GREEN,0,0,1
AL,HOMEWOOD,2,0,0
AL,HUEYTOWN,0,1,0
AL,HUNTSVILLE,15,5,10
AL,Haleyville,0,0,2
AL,Hamilton,0,7,4
AL,Hanceville,0,1,2
AL,Hartford,1,1,0
AL,Hartselle,0,0,2
AL,Headland,3,0,5
AL,Heflin,12,1,2
AL,Helena,0,0,1
AL,Homewood,1,0,1
AL,Hoover,19,13,6
AL,Houston,1,0,0
AL,Hueytown,9,3,2
AL,Huntsville,449,115,77
AL,IRONDALE,1,0,0
AL,Irvington,1,0,2
AL,JASPER,0,0,1
AL,Jackson,1,3,4
AL,Jackson County,1,0,0
AL,Jacksonville,10,3,2
AL,Jasper,0,3,4
AL,LINCOLN,0,0,2
AL,Lanett,0,6,0
AL,Langdale,3,0,3
AL,Leeds,9,2,2
AL,"Leeds, AL",1,0,0
AL,Leesburg,8,1,3
AL,Lincoln,1,0,0
AL,Linden,0,0,1
AL,Lineville,10,1,2
AL,Livingston,0,1,0
AL,Louisville,1,0,0
AL,Lynwwod,1,0,0
AL,MADISON,0,1,3
AL,MAXWELL AFB,0,0,1
AL,MCINTOSH,0,1,0
AL,MOBILE,1,2,5
AL,MONROEVILLE,0,0,1
AL,MONTGOMERY,25,5,5
AL,MUSCLE SHOALS,1,0,0
AL,Madison,4,2,11
AL,Mafb Gun Annx,1,0,0
AL,Marion,3,0,3
AL,Maxwell AFB,4,2,0
AL,Maxwell Afb,0,0,1
AL,McCalla,1,2,6
AL,McIntosh,1,0,2
AL,Meadowbrook,17,3,0
AL,Meridianville,3,0,0
AL,Midfield,0,0,2
AL,Millbrook,1,0,0
AL,Millport,0,1,2
AL,Mobile,53,21,112
AL,Monroeville,1,0,2
AL,Montevallo,10,1,3
AL,Montgomery,47,36,36
AL,Montrose,0,2,0
AL,Moody,0,0,1
AL,Morris,0,0,1
AL,Mountain Brookk,0,0,1
AL,Mt. Meigs,0,0,1
AL,Muscle Shoals,0,6,2
AL,Northport,0,1,0
AL,OPELIKA,0,0,14
AL,OXFORD,0,0,3
AL,Oak Grove,8,1,2
AL,Ohatchee,8,1,2
AL,Oneonta,9,3,2
AL,Opelika,2,4,11
AL,Opp,0,9,0
AL,Orange Beach,0,0,1
AL,Other,0,2,1
AL,Owens Cross Roads,0,0,1
AL,Oxford,8,3,5
AL,Ozark,3,0,6
AL,PELHAM,0,1,1
AL,PHENIX CITY,0,0,1
AL,PINE HILL,0,0,1
AL,PINE HILL MILL,0,1,0
AL,PRATTVILLE,0,0,4
AL,Pelham,14,2,7
AL,Pell City,9,10,3
AL,Phenix City,3,12,5
AL,Philadelphia,1,0,0
AL,Pike Road,0,0,1
AL,Pinson,0,0,1
AL,Pittsburgh,1,0,0
AL,Prattville,3,2,8
AL,Prichard,1,0,2
AL,RIVERDALE MILL,0,0,1
AL,ROANOKE,0,0,4
AL,Ragland,9,1,2
AL,Rainbow City,1,0,1
AL,Red Bay,1,1,0
AL,Redstone Arsenal,25,5,2
AL,Remote,2,0,0
AL,Remote US,1,0,0
AL,Remote USA,1,0,0
AL,Roanoke,10,3,2
AL,Robertsdale,0,1,1
AL,Russellville,0,0,5
AL,SEMMES,0,1,0
AL,STEELE,0,0,1
AL,SYLACAUGA,1,0,1
AL,Salem,3,0,3
AL,Saraland,1,1,2
AL,Scottsboro,0,1,3
AL,Selma,3,6,4
AL,Sheffield,0,1,1
AL,Slocomb,3,0,3
AL,Smiths,3,0,3
AL,Springville,9,2,2
AL,Steele,1,0,1
AL,Stevenson,0,0,2
AL,Sulligent,0,0,2
AL,Sunny South,1,0,1
AL,Sylacauga,8,10,5
AL,Sylvania,0,0,1
AL,TALLADEGA,2,0,0
AL,TROY,1,0,5
AL,TRUSSVILLE,0,0,1
AL,TUSCALOOSA,0,0,5
AL,Talladega,12,2,3
AL,Tallassee,5,0,3
AL,Theodore,3,1,2
AL,Thomasville,1,0,3
AL,Troy,11,10,14
AL,Trussville,9,15,3
AL,Tuscaloosa,33,22,6
AL,Tuscumbia,0,4,2
AL,Tuskegee,0,1,0
AL,Union Springs,3,0,3
AL,Uniontown,0,0,1
AL,VALLEY,0,0,1
AL,VESTAVIA HILLS,0,0,2
AL,Valley,4,3,3
AL,Valley Head,0,0,1
AL,Vance,0,0,1
AL,Varnons,11,1,2
AL,Verbena,3,0,3
AL,Vernon,1,0,1
AL,Vestavia Hills,0,1,0
AL,Vincent,8,1,2
AL,WETUMPKA,0,1,0
AL,Walton Beach,0,0,4
AL,Wedowee,9,1,2
AL,West Melbourne,1,0,0
AL,West Mobile,0,1,0
AL,Wetumpka,3,1,3
AL,White Hall,0,0,1
AL,Wilsonville,8,1,2
AL,Winfield,1,2,0
AL,irmingham,1,0,0
AL,mobile,0,0,1
AL,oxford,1,0,0
AR,ARKADELPHIA,1,1,0
AR,ARKANSAS CITY,0,0,1
AR,ASHDOWN,0,1,0
AR,Alexander,0,1,1
AR,All,5,0,0
AR,Arad,0,1,0
AR,Arkadelphia,1,0,5
AR,Ashdown,0,1,1
AR,BENTONVILLE,20,9,20
AR,BISMARCK,0,0,1
AR,BRYANT,0,0,1
AR,Barling,2,0,0
AR,Batesville,1,2,0
AR,Bella Vista,0,2,1
AR,Benton,1,3,5
AR,Bentonville,141,52,7
AR,Berryville,0,1,1
AR,Blytheville,2,5,1
AR,Booneville,0,1,1
AR,Bryant,1,2,0
AR,C,3,2,0
AR,CLARKSVILLE,0,0,1
AR,CONWAY,1,0,1
AR,Cabot,0,0,3
AR,Calico Rock,0,1,0
AR,Camden,4,1,5
AR,Camp J T Robinson,2,1,13
AR,Centerton,1,0,0
AR,Centerville,1,0,0
AR,Charleston,0,1,0
AR,Cherry Valley,0,0,1
AR,Clarksville,0,0,6
AR,Conway,16,7,6
AR,Corning,2,2,0
AR,Crossett,0,1,0
AR,Damascus,0,0,2
AR,Dardanelle,0,1,5
AR,De Queen,0,0,2
AR,DeQueen,0,0,1
AR,Delight,1,0,0
AR,Dewitt,1,0,0
AR,Dierks,0,0,1
AR,Donaldson,0,0,1
AR,EL DORADO,0,1,2
AR,EUREKA SPRINGS,0,0,1
AR,El Dorado,6,17,9
AR,Eureka Springs,0,2,2
AR,FAYETTEVILLE,4,2,6
AR,FORT SMITH,0,1,3
AR,Fayetteville,41,46,14
AR,Fordyce,0,1,0
AR,Foreman,0,0,1
AR,Forrest CIty,0,0,1
AR,Forrest City,0,6,1
AR,Fort Chaffee,5,0,2
AR,Fort SMith,0,1,1
AR,Fort Smith,16,89,12
AR,Ft. Smith,0,2,0
AR,Gould,0,2,0
AR,Grady,0,6,0
AR,Grannis,0,0,1
AR,Green Forest,0,1,2
AR,Greenbrier,2,0,0
AR,Greenwood,1,0,0
AR,HOPE,0,0,1
AR,HOT SPRINGS,0,51,0
AR,HOT SPRNGS,0,1,0
AR,Hampton,2,0,0
AR,Harrisburg,0,0,2
AR,Harrison,0,4,1
AR,Haynes,0,0,1
AR,Heber Springs,0,2,1
AR,Helena,0,7,2
AR,Hope,0,5,3
AR,Hot Springs,1,8,4
AR,Hot Springs Village,0,2,3
AR,JACKSONVILLE,1,0,0
AR,JONESBORO,1,49,4
AR,Jacksonville,0,7,5
AR,Jefferson,2,0,0
AR,Jersey,0,0,1
AR,Jessieville,0,3,0
AR,Johnson,0,15,0
AR,Jonesboro,7,13,35
AR,Kirby,0,0,1
AR,LAKE VILLAGE,0,0,1
AR,LITTLE ROCK,20,86,11
AR,Lake Village,1,0,0
AR,Leola,0,0,1
AR,Little Rock,171,178,51
AR,Little Rock AFB,0,1,4
AR,Little Rock Air Force Base,2,0,0
AR,Little rock,0,3,1
AR,Lonoke,1,3,0
AR,Lowell,23,8,1
AR,Luxora,0,0,1
AR,MAGNOLIA,0,1,0
AR,MARMADUKE,0,0,1
AR,MAUMELLE,0,1,0
AR,MENA,0,1,0
AR,MIDWAY,0,0,1
AR,MORRILTON,0,2,0
AR,MOUNT IDA,0,1,0
AR,Magnolia,2,0,1
AR,Malvern,3,1,3
AR,Marion,0,1,2
AR,Marshall,1,0,1
AR,Maumelle,10,1,7
AR,Mayflower,1,0,0
AR,McGehee,1,0,0
AR,Mena,1,1,1
AR,Mendoza,0,0,1
AR,Menifee,0,0,1
AR,Monticello,1,3,0
AR,Mountain Home,1,19,0
AR,Mountainburg,0,0,1
AR,Mt Ida,0,1,0
AR,Murfreesboro,0,1,0
AR,N LITTLE ROCK,0,0,1
AR,NASHVILLE,0,1,0
AR,NLR/Camp Robinson,0,0,1
AR,NORTH LITTLE ROCK,0,14,0
AR,Nashville,0,2,3
AR,Newark,1,0,0
AR,Newport,0,1,0
AR,North Little Rock,5,17,8
AR,OSCEOLA,0,2,5
AR,Osceola,0,4,5
AR,Ozark,3,1,3
AR,PARAGOULD,0,0,2
AR,PERRY,0,0,1
AR,PINE BLUFF,0,1,0
AR,Paragould,0,2,2
AR,Parkin,0,0,1
AR,Pine Bluff,9,12,5
AR,Pine Bluff Arsenal,2,0,0
AR,Pocahontas,2,0,1
AR,Pragould,0,0,1
AR,ROGERS,2,1,0
AR,RUSSELLVILLE,0,1,0
AR,Rison,2,0,2
AR,Rogers,16,30,15
AR,Russellville,5,2,7
AR,SEARCY,1,2,6
AR,SHERIDAN,0,1,0
AR,SHERWOOD,0,3,0
AR,SPRINGDALE,0,3,4
AR,STUTTGART,0,0,11
AR,Salem,0,4,0
AR,Scranton,0,0,4
AR,Searcy,3,0,2
AR,Sheridan,0,0,1
AR,Siloam Springs,2,10,1
AR,Springadale,0,0,1
AR,Springdale,10,34,21
AR,St. Louis,0,1,0
AR,Stuttgart,4,1,1
AR,Texarkana,0,5,7
AR,Tucker,0,2,0
AR,Tyronza,0,0,1
AR,Van Buren,3,2,1
AR,WEST HELENA,0,1,0
AR,WEST MEMPHIS,0,1,4
AR,Warren,0,0,1
AR,West Memphis,1,4,9
AR,Widener,0,0,1
AR,Wrightsville,0,2,0
AR,Wynne,0,0,1
AZ,2400 W. Dunlap Ave. Suite 100,1,0,0
AZ,290 S. Alma School Rd. Suite 01,1,0,0
AZ,85281,1,0,0
AZ,AZ Southwest,0,0,1
AZ,Ajo,0,1,0
AZ,Anaheim,0,2,0
AZ,Anthem,0,1,0
AZ,Anywhere USA,1,0,0
AZ,Apache Junction,1,3,0
AZ,Avondale,1,7,3
AZ,BELLEMONT,1,0,0
AZ,BISBEE,0,0,1
AZ,BUCKEYE,0,0,3
AZ,BULLHEAD CITY,0,0,2
AZ,Bagdad,0,1,0
AZ,Bapchule,0,0,1
AZ,Bellemont,0,0,1
AZ,Benson,0,2,0
AZ,Buckeye,0,0,1
AZ,Bullhead City,0,10,1
AZ,CAMP VERDE,0,0,1
AZ,CASA GRANDE,2,5,2
AZ,CAVE CREEK,0,0,1
AZ,CHANDLER,34,18,10
AZ,COOLIDGE,0,0,1
AZ,Camp Verde,0,1,0
AZ,Casa Grande,3,24,4
AZ,Chandler,161,73,19
AZ,Chinle,1,11,1
AZ,Chino Valley,0,1,0
AZ,Cibecue,0,1,0
AZ,Cottonwood,0,4,1
AZ,Cypress,0,1,0
AZ,Davis Dam,0,0,1
AZ,Davis Monthan AFB,3,3,4
AZ,Douglas,0,3,0
AZ,ELOY,2,7,0
AZ,El Mirage,0,3,0
AZ,Eloy,1,1,1
AZ,FLAGSTAFF,0,2,2
AZ,FLORENCE,0,6,2
AZ,FORT DEFIANCE,0,6,0
AZ,FREDONIA,0,0,1
AZ,Field Rep 002,4,0,0
AZ,Flagstaff,6,12,6
AZ,Florence,0,5,0
AZ,Fort Defiance,0,4,0
AZ,Fort Huachua,1,0,0
AZ,Fort Huachuca,53,8,0
AZ,Fort McDowell,0,0,1
AZ,Fort Mohave,0,1,0
AZ,Fountain Hills,0,4,0
AZ,Ft Huachuca,0,0,1
AZ,Ft. Huachuca,2,0,0
AZ,GILBERT,0,5,0
AZ,GLENDALE,2,2,4
AZ,GLOBE,0,4,0
AZ,Gila Bend AFAF,1,0,0
AZ,Gilbert,14,62,11
AZ,Glendale,43,72,9
AZ,Globe,0,1,0
AZ,Golden Valley,2,6,1
AZ,Good Year,0,0,1
AZ,Goodyear,0,9,5
AZ,Grand Canyon,0,2,3
AZ,Green Valley,0,1,0
AZ,Houston,0,0,1
AZ,Inscription House,0,1,0
AZ,Internships Tempe,1,0,0
AZ,JEROME,1,0,0
AZ,Joseph City,0,0,1
AZ,KINGMAN,1,0,1
AZ,Kayenta,0,1,2
AZ,Kierland,0,0,2
AZ,Kingman,1,2,9
AZ,LAKE HAVASU CITY,0,0,2
AZ,LAVEEN,0,0,2
AZ,Lake Havasu City,0,5,1
AZ,Laveen,0,5,1
AZ,Litchfield Park,0,1,0
AZ,Los Angeles,0,2,0
AZ,Luke Air Force Base,6,3,1
AZ,MESA,1,19,4
AZ,Marana,2,4,6
AZ,Maricopa,0,0,2
AZ,Maricopa South AZ Phoenix,2,0,0
AZ,Mesa,35,117,35
AZ,Miami,1,0,2
AZ,NOGALES,0,3,0
AZ,Nogales,0,4,2
AZ,Not Applicable,15,1,0
AZ,Oro Valley,0,24,0
AZ,PARKER,0,0,2
AZ,PAYSON,0,3,2
AZ,PEORIA,0,0,2
AZ,PHOENIX,133,64,39
AZ,PRESCOTT,0,9,1
AZ,PRESCOTT VALLEY,0,0,1
AZ,Page,1,5,2
AZ,Palo Verde Nuclear Station,1,0,0
AZ,Parker,0,2,2
AZ,Payson,1,12,0
AZ,Peoria,2,14,16
AZ,Phoenix,821,778,180
AZ,Phoenix (Chandler Park Place) Chandler,4,0,0
AZ,Phoenix AZ,0,1,0
AZ,Pima,1,0,0
AZ,Pinon,0,1,0
AZ,Polacca,0,3,1
AZ,Prescott,5,13,1
AZ,Prescott Valley,0,7,0
AZ,QUEEN CREEK,0,1,1
AZ,Queen Creek,0,6,0
AZ,Rockford/Tempe,0,0,1
AZ,SAFFORD,1,0,0
AZ,SAN LUIS,0,1,0
AZ,SAN TAN VALLEY,0,2,0
AZ,SCOTTSDALE,16,5,3
AZ,SELIGMAN,0,0,1
AZ,SHOW LOW,0,7,2
AZ,SIERRA VISTA,11,0,1
AZ,ST MICHAELS,0,0,1
AZ,STATE,0,4,0
AZ,SUN CITY WEST,0,16,0
AZ,Safford,1,1,0
AZ,Salt Lake City,0,1,0
AZ,San Carlos,0,2,0
AZ,San Tan Valley,0,8,0
AZ,San Xavier,0,1,0
AZ,Scottsdale,239,184,21
AZ,Sells,0,3,0
AZ,Show Low,0,4,2
AZ,Sierra Vista,200,98,12
AZ,South,0,1,0
AZ,Springerville,0,0,2
AZ,Stanfied/Maricopa,0,1,0
AZ,Sun City,2,23,0
AZ,Sun City West,0,37,1
AZ,Surprise,3,12,4
AZ,TAYLOR,0,1,0
AZ,TEMPE,15,6,9
AZ,TOLLESON,0,0,1
AZ,TUCSON,7,21,7
AZ,Taylor,0,0,1
AZ,Tempe,134,41,40
AZ,Tempe West,0,0,3
AZ,Tolleson,1,3,5
AZ,Tucson,232,282,67
AZ,Tucson Metro,0,2,0
AZ,Tumacacori,0,0,1
AZ,WICKENBURG,0,0,1
AZ,WINDOW ROCK,1,0,0
AZ,Wellton,1,0,1
AZ,West Phoenix Power Plant,0,0,1
AZ,Whiteriver,0,15,0
AZ,Williams,0,0,3
AZ,Winslow,0,0,1
AZ,Wittmann,0,2,0
AZ,YUMA,7,8,2
AZ,Youngtown,0,2,1
AZ,Yuma,11,23,15
AZ,Yuma Proving Ground,3,2,0
AZ,Yuma Proving Grounds,72,0,0
AZ,phoenix,0,0,1
CA,1910 Olympic Blvd. Suite 220,1,0,0
CA,29 Palms,1,2,0
CA,334 Via Vera Cruz,1,0,0
CA,3701 Torrance Boulevard,0,0,1
CA,444 E. Huntington Drive,1,0,0
CA,6330 Variel Ave,1,0,0
CA,7297 Ronson Rd.,1,0,0
CA,802 Magnolia Ave. Suite 202,1,0,0
CA,AB,4,1,0
CA,AGOURA HILLS,4,0,0
CA,ALHAMBRA,0,1,0
CA,ALISO VIEJO,3,0,0
CA,AMERICAN CANYON,0,1,0
CA,ANAHEIM,26,25,4
CA,ANAHEIM HILLS,0,1,0
CA,ANTIOCH,0,0,2
CA,APPLE VALLEY,0,0,6
CA,ARCATA,0,6,0
CA,ATWATER,0,0,1
CA,AUBURN,0,0,1
CA,AZUSA,0,0,1
CA,Acampo,0,0,2
CA,Adelanto,4,3,5
CA,Agoura Hills,1,0,0
CA,Alameda,19,7,9
CA,Albany,0,3,0
CA,Alberta,1,0,0
CA,Alhambra,2,3,4
CA,Aliso Viejo,37,5,1
CA,Altadena,0,1,1
CA,Alturas,1,1,0
CA,Alviso,0,0,2
CA,American Canyon,0,0,3
CA,Anaheim,49,58,30
CA,Anaheim Hills,2,2,0
CA,Anderson,0,0,1
CA,Angels,0,1,0
CA,Angels Camp,0,1,0
CA,Antelope,0,1,3
CA,Antioch,0,52,4
CA,Apple Valley,0,2,1
CA,Arcadia,55,18,3
CA,Arcata,1,3,5
CA,Argosy University Orange County Orange,1,0,0
CA,Arleta,1,0,0
CA,Arlington,0,1,0
CA,Arnold,0,0,1
CA,Arroyo Grand,0,1,0
