state,S&E,S&E-related,STEM Middle-skill
AK,203,413,243
AL,1440,884,989
AR,609,925,448
AZ,2336,2334,645
CA,15317,9645,3391
CO,4719,3182,1606
CT,2062,1307,829
DC,1853,328,165
DE,479,245,148
FL,6188,3991,2139
GA,4922,4108,2209
HI,374,417,227
IA,1508,1783,1294
ID,758,654,553
IL,4797,2793,1657
IN,1609,2226,1052
KS,861,674,559
KY,751,969,474
LA,697,552,518
MA,4056,2178,1124
MD,4117,1852,925
ME,348,616,399
MI,4245,3464,1498
MN,4312,4593,2578
MO,1835,2502,946
MS,379,935,545
MT,282,618,406
NC,4813,2357,1287
ND,211,298,358
NE,610,933,547
NH,845,584,345
NJ,5261,3868,1220
NM,4220,1507,305
NV,695,1283,572
NY,7575,4708,2858
OH,4387,6098,2118
OK,739,986,457
OR,1411,1346,619
PA,5376,8114,2849
RI,346,178,152
SC,1070,720,639
SD,307,541,360
TN,1553,1964,1104
TX,8785,7834,4113
UT,1752,1720,1497
VA,7743,2537,1290
VT,104,158,71
WA,3346,2309,807
WI,3171,3802,3133
WV,331,533,254
WY,106,239,144
