state,1.0,2.0,3.0,4.0,5.0
AK,11,16,357,367,99
AL,13,82,1451,1509,190
AR,5,35,823,901,158
AZ,0,31,1840,2903,463
CA,3,230,8511,16514,2739
CO,13,86,3231,5247,782
CT,0,55,1532,2083,459
DC,0,5,779,1405,141
DE,0,11,344,431,69
FL,5,160,4847,6357,824
GA,7,120,4568,5261,1005
HI,0,8,400,522,87
IA,1,100,1934,1874,453
ID,5,55,922,761,184
IL,4,113,3338,4764,835
IN,6,91,2035,2269,367
KS,0,68,895,876,193
KY,1,30,872,1063,170
LA,1,37,781,746,160
MA,3,69,2443,3790,955
MD,2,38,2324,3863,594
ME,1,60,542,572,112
MI,14,134,3177,4817,869
MN,5,237,4762,5001,992
MO,5,82,2067,2460,542
MS,7,35,858,753,140
MT,4,69,563,514,123
NC,2,74,3249,4396,578
ND,18,62,389,330,48
NE,5,35,914,895,128
NH,0,28,620,926,126
NJ,0,62,3493,5671,998
NM,0,16,707,3577,1706
NV,8,40,980,1223,241
NY,6,228,5709,7344,1549
OH,3,194,5152,5762,1131
OK,0,41,1058,881,173
OR,9,53,1253,1702,261
PA,19,183,6203,7738,1830
RI,0,7,304,324,39
SC,4,31,946,1204,152
SD,13,46,573,412,129
TN,1,63,2093,2014,276
TX,22,253,8342,9785,1967
UT,5,136,2034,2081,281
VA,1,63,3802,6842,765
VT,0,4,124,179,16
WA,17,71,1914,3876,499
WI,15,423,4215,3951,871
WV,2,27,423,501,148
WY,0,23,218,186,47
