state,Zip,S&E,S&E-related,STEM Middle-skill
AK,35802,0,0,1
AK,97019,0,0,1
AK,99503,49,110,27
AK,99505,4,2,12
AK,99506,7,5,5
AK,99559,1,4,0
AK,99579-0000,0,0,1
AK,99603,0,6,0
AK,99611,3,1,1
AK,99615,1,3,2
AK,99629,0,8,1
AK,99645,0,6,0
AK,99664,1,2,3
AK,99669,0,5,0
AK,99683,0,0,2
AK,99685,0,0,1
AK,99686,0,3,1
AK,99692,0,0,2
AK,99702,6,1,8
AK,99703,6,7,13
AK,99723,0,0,2
AK,99731,5,2,3
AK,99734,2,2,5
AK,99737,0,0,1
AK,99752,1,3,4
AK,99755,0,0,1
AK,99762,0,9,0
AK,99790,12,22,6
AK,99811,20,30,5
AK,99826,0,0,1
AK,99833,0,0,2
AK,99840,0,0,1
AK,99901,0,3,4
AK,99921,0,3,0
AK,99925,0,1,0
AL,19106,1,0,0
AL,33109,0,0,1
AL,35004,0,0,1
AL,35005,8,1,2
AL,35007,0,2,3
AL,35010,9,1,5
AL,35015,0,0,1
AL,35016,1,1,0
AL,35020,1,8,1
AL,35023,9,4,2
AL,35031,9,2,6
AL,35040,8,1,4
AL,35042,0,2,0
AL,35043,0,0,1
AL,35044,0,0,1
AL,35045,4,0,5
AL,35051,9,1,2
AL,35055,0,0,3
AL,35056,2,5,7
AL,35062,0,0,1
AL,35064,11,1,4
AL,35068,0,2,0
AL,35071,11,4,4
AL,35072,8,1,2
AL,35073,0,0,1
AL,35077,0,1,3
AL,35080,0,0,1
AL,35094,10,2,2
AL,35096,1,0,2
AL,35111,0,1,0
AL,35115,10,1,3
AL,35116,0,0,2
AL,35121,9,3,2
AL,35124,14,3,8
AL,35126,0,0,1
AL,35128,9,10,3
AL,35131,9,1,2
AL,35146,9,2,2
AL,35150,17,11,8
AL,35160,1,0,0
AL,35161,13,2,3
AL,35173,9,15,4
AL,35178,8,1,2
AL,35186,8,1,2
AL,35203,0,0,4
AL,35204,0,0,1
AL,35205,136,138,69
AL,35209,1,0,3
AL,35210,1,0,1
AL,35212,0,2,0
AL,35215,1,1,0
AL,35216,0,1,2
AL,35218,8,1,2
AL,35219,3,0,1
AL,35223,0,1,0
AL,35226,6,9,4
AL,35228,0,0,2
AL,35233,0,0,2
AL,35234,0,1,0
AL,35235,0,4,2
AL,35236,0,0,1
AL,35242,17,3,1
AL,35244,14,8,3
AL,35260,0,0,1
AL,35401,1,0,0
AL,35453,4,0,2
AL,35470,0,1,0
AL,35475,0,1,0
AL,35486,32,22,11
AL,35490,0,0,1
AL,35501,0,1,5
AL,35502,0,1,0
AL,35503,0,1,0
AL,35546,0,0,2
AL,35555,0,7,0
AL,35565,0,0,2
AL,35570,0,7,4
AL,35572,1,0,0
AL,35576,0,1,2
AL,35582,1,1,0
AL,35586,0,0,2
AL,35592,1,0,1
AL,35594,1,2,0
AL,35601,10,8,10
AL,35603,0,0,1
AL,35611,3,3,3
AL,35616,0,0,2
AL,35622,0,0,1
AL,35630,2,11,20
AL,35640,0,0,2
AL,35654,0,0,5
AL,35660,0,1,1
AL,35661,1,6,2
AL,35674,0,4,2
AL,35739,0,1,0
AL,35740,0,0,2
AL,35742,0,0,1
AL,35750,0,0,1
AL,35758,4,3,14
AL,35759,3,0,0
AL,35763,0,0,1
AL,35768,0,0,2
AL,35769,0,1,1
AL,35772,0,0,2
AL,35801,6,4,5
AL,35802,6,2,0
AL,35803,0,1,1
AL,35805,11,0,0
AL,35806,10,1,0
AL,35807,2,0,0
AL,35808,443,113,69
AL,35810,0,0,2
AL,35811,0,0,2
AL,35812,1,0,0
AL,35813,0,0,1
AL,35814,7,1,1
AL,35816,1,0,2
AL,35824,0,1,3
AL,35899,2,2,3
AL,35902,8,50,11
AL,35904,0,0,1
AL,35906,1,0,1
AL,35950,0,0,13
AL,35951,0,0,1
AL,35953,8,2,2
AL,35954,9,1,2
AL,35957,0,3,0
AL,35960,10,10,2
AL,35961,0,0,1
AL,35962,0,1,0
AL,35967,0,13,2
AL,35976,1,1,9
AL,35983,8,1,3
AL,35987,1,0,2
AL,35988,0,0,1
AL,35989,0,0,1
AL,36003,3,0,4
AL,36010,2,1,11
AL,36016,3,0,3
AL,36024,0,0,3
AL,36025,0,3,0
AL,36027,0,0,2
AL,36032,3,0,3
AL,36033,3,0,3
AL,36037,3,5,3
AL,36048,1,0,0
AL,36054,1,0,0
AL,36057,0,0,1
AL,36064,0,0,1
