state,Zip,1.0,2.0,3.0,4.0,5.0
AK,35802,0,0,1,0,0
AK,97019,1,0,0,0,0
AK,99503,3,0,52,115,15
AK,99505,0,0,13,3,2
AK,99506,0,0,7,10,0
AK,99559,0,0,2,3,0
AK,99579-0000,1,0,0,0,0
AK,99603,0,0,0,6,0
AK,99611,0,0,2,3,0
AK,99615,0,0,2,3,1
AK,99629,0,0,3,1,5
AK,99645,0,0,1,4,1
AK,99664,1,0,4,1,0
AK,99669,0,0,1,4,0
AK,99683,0,0,2,0,0
AK,99685,1,0,0,0,0
AK,99686,0,0,4,0,0
AK,99692,0,0,2,0,0
AK,99702,0,0,9,6,0
AK,99703,0,0,11,1,11
AK,99723,0,0,2,0,0
AK,99731,0,0,6,4,0
AK,99734,0,0,5,4,0
AK,99737,0,0,1,0,0
AK,99752,0,0,3,4,0
AK,99755,0,0,1,0,0
AK,99762,0,0,0,7,2
AK,99790,1,0,18,19,2
AK,99811,1,0,20,34,0
AK,99826,0,0,1,0,0
AK,99833,0,1,1,0,0
AK,99840,0,0,1,0,0
AK,99901,0,0,3,3,1
AK,99921,0,0,0,2,1
AK,99925,0,0,0,0,1
AL,35802,0,0,0,7,1
AL,19106,0,0,0,0,1
AL,33109,0,1,0,0,0
AL,35004,0,0,1,0,0
AL,35005,0,0,4,7,0
AL,35007,0,0,4,1,0
AL,35010,0,0,7,8,0
AL,35015,0,0,1,0,0
AL,35016,0,0,2,0,0
AL,35020,0,0,5,3,1
AL,35023,0,0,5,8,2
AL,35031,0,0,10,7,0
AL,35040,0,1,5,7,0
AL,35042,0,0,0,0,2
AL,35043,0,0,1,0,0
AL,35044,0,0,1,0,0
AL,35045,0,0,5,4,0
AL,35051,0,0,4,8,0
AL,35055,0,0,2,0,0
AL,35056,1,0,7,3,3
AL,35062,0,0,1,0,0
AL,35064,0,0,7,9,0
AL,35068,0,0,0,0,2
AL,35071,0,0,7,12,0
AL,35072,0,0,4,7,0
AL,35073,0,0,1,0,0
AL,35077,0,0,3,1,0
AL,35080,0,0,1,0,0
AL,35094,0,0,4,10,0
AL,35096,0,0,2,1,0
AL,35111,0,0,1,0,0
AL,35115,0,0,5,9,0
AL,35116,0,0,2,0,0
AL,35121,0,0,4,10,0
AL,35124,0,1,15,9,0
AL,35126,0,0,1,0,0
AL,35128,0,0,11,11,0
AL,35131,0,0,4,8,0
AL,35146,0,0,4,8,0
AL,35150,0,0,15,19,0
AL,35160,0,0,1,0,0
AL,35161,0,0,5,12,0
AL,35173,0,0,16,11,1
