state,Zip,postings_seen
NM,87544,4792
NY,10176,4551
PA,15222,3755
GA,30309,3396
NC,28230,2776
IL,60664,2470
TX,77007,2468
CA,94103,2381
DC,20044,2213
TX,78769,2107
CA,92108,2098
AZ,85067,1974
MO,63108,1964
WA,98194,1917
TX,75219,1886
CA,90006,1764
MA,02133,1615
IN,46202,1612
TX,78284,1587
FL,32806,1524
PA,19133,1505
CO,80238,1487
OH,43201,1425
CA,95115,1306
OH,45217,1289
NV,89102,1272
CA,95054,1189
FL,33603,1186
NC,27608,1184
FL,33126,1177
MI,48208,1166
MD,21217,1130
MN,55405,1101
FL,32232,1035
UT,84165,1016
CA,92604,997
OH,44101,974
TX,75062,970
VA,23261,962
TN,37230,957
CA,95816,942
CO,80932,935
OR,97240,915
NY,14608,913
VA,22204,909
TX,76101,897
VA,22106,794
KY,40290,777
NY,12260,769
WA,98073,769
OK,73163,760
NE,68132,749
MA,02238,725
TN,38111,678
MO,64106,662
NM,87190,651
WI,53703,648
FL,33313,645
MD,20701,637
MI,48104,634
AL,35808,625
WI,53208,621
AZ,85702,613
CT,06132,609
VA,20190,607
OK,74152,590
TX,75026,581
NV,89505,579
VA,20172,575
WA,98005,542
IA,50312,538
AR,72205,495
TX,76504,492
SC,29403,488
OR,97123,479
TN,37921,473
AZ,85258,467
VA,22303,460
CA,94086,453
NJ,07308,446
VA,22030,442
MD,20851,440
NY,13203,436
OH,45410,431
VA,20151,431
CA,94301,430
MI,48123,428
HI,96823,422
CA,94606,421
DE,19806,407
IN,46802,405
NC,27403,403
CA,94039,402
MD,21045,396
MN,55344,395
VA,23509,394
CO,80202,392
GA,30009,389
CO,80305,384
CO,80113,384
ID,83701,383
CO,80111,379
IA,52242,373
MI,49507,372
NY,14211,367
MN,55172,366
KS,66210,365
ID,83708,363
MD,20814,356
NJ,07054,354
TX,78683,351
TN,37404,351
UT,84415,348
NC,27722,343
AL,35205,343
VA,22151,343
CA,90245,340
NJ,08542,338
NJ,08901,337
NH,03061,336
CO,80017,334
MN,55901,333
KY,40508,325
AZ,85635,322
IL,61606,319
LA,70806,318
CA,90251,317
AZ,85286,315
CA,94061,314
FL,33747,314
NY,11225,313
NC,27515,313
NY,10167,311
WA,98408,308
NY,11747,306
FL,32301,305
CT,06349,303
OH,43016,296
CA,93744,296
SC,29602,296
NJ,08054,293
NJ,08873,290
TX,79940,288
MD,20755,286
WA,98203,282
CO,80120,280
SD,57117,279
MN,55431,278
PA,19406,278
IA,52401,278
VA,22180,277
KS,67202,274
GA,30914,272
NJ,08103,271
CT,06532,267
WA,99207,266
TX,75081,266
MI,48321,265
NY,10175,261
PA,17108,260
GA,31403,260
VA,22905,259
NC,27512,257
CA,92406,256
GA,30006,256
PA,17402,256
VA,23452,255
LA,70181,255
CA,94597,253
NC,27560,253
MI,48915,252
MA,01810,251
TX,75033,251
MN,55121,251
VA,24027,250
AR,72712,249
OH,43620,248
MA,01803,247
IA,52004,246
CT,06912,245
IL,60015,242
MI,48093,241
MI,48235,240
AZ,85282,239
MO,65806,239
SC,29240,238
NJ,08807,233
PA,17601,232
PA,19355,230
MD,20915,226
OR,97005,226
CA,94025,224
MA,02454,221
PA,19087,221
NE,68503,220
FL,33434,220
VA,23337,220
WI,53226,220
PA,18103,219
VA,23606,218
IA,50265,217
IL,62701,217
PA,16602,215
MN,55345,214
MN,55446,213
TX,76702,212
CA,94588,211
NY,11109,208
AZ,85213,207
NH,03755,207
FL,33322,206
GA,30093,203
MI,48007,203
NJ,07932,203
MI,48326,202
ND,58103,202
FL,34232,202
MI,48086,202
TN,37065,197
VA,22060,197
PA,15212,196
VA,20147,195
NJ,07701,195
CO,80038,194
GA,31906,193
OH,45040,192
NJ,07102,192
FL,33417,192
MD,21401,191
MA,01752,191
MI,48151,191
MN,55805,190
OH,44308,190
CA,91222,189
VA,23323,189
DE,19713,187
AK,99503,186
CO,80503,186
CA,95204,186
NJ,08629,184
CA,92805,183
PA,16503,182
AL,36607,182
MN,55101,182
CA,91365,179
GA,30028,179
NY,13442,177
UT,84043,177
GA,30303,176
VA,20189,175
MN,55422,174
MN,55112,173
NJ,07601,173
MI,48311,173
VA,22040,173
CA,90241,172
MD,21705,172
NC,28307,172
WI,53226-3522,171
CO,80010,171
CO,80232,170
CT,06138,170
MD,20898,169
CT,06608,169
MA,01730,169
NC,27709,168
VA,22134,168
WI,53189,168
CO,80528,167
CA,92702,167
CA,90509,167
VA,24141,167
CA,94080,167
NH,03103,166
TX,76015,165
NJ,08854,165
MI,48332,163
WA,99352,162
TX,77840,162
IL,61106,162
CA,92627,161
SC,29420,161
NJ,07960,159
CA,90407,159
WI,53704,159
NH,03054,158
MA,01613,158
WI,54956,158
WI,54401,157
MN,55427,157
IL,60173,157
MT,59101,156
MN,55126,155
NJ,07920,155
WI,53217,154
PA,18101,154
CA,91358,154
CA,94583,154
MN,56301,153
CT,06095,153
RI,02940,152
FL,32941,151
KS,66612,151
CA,92038,150
AL,36107,150
FL,34116,149
CA,95670,147
OH,44507,147
CA,92008,146
UT,84003,145
WI,54913,145
FL,32505,143
CA,94404,143
MI,49048,142
PA,19422,142
CO,80301,141
CA,92514,141
MD,21001,141
IL,61705,141
CT,06473,141
CA,94403,140
MS,39203,139
NJ,08043,139
CA,90710,139
CA,94536,139
CA,92354,139
WA,98661,139
TX,75007,138
NJ,08899,138
WI,54449,138
CA,91758,138
CA,91116,138
WA,98021,137
CA,94066,137
WA,98507,136
MI,49422,136
MD,21076,136
CO,81003,136
ID,83201,135
CA,94953,134
TX,79410,134
TX,78467,134
VA,23669,134
CA,93130,132
PA,19601,132
PA,18020,131
AZ,85304,131
NJ,07753,130
MI,48170,130
CO,80912,130
UT,84081,130
CO,80027,129
CO,80112,129
OR,97440,129
CA,90806,129
CA,95630,129
TX,76544,128
UT,84321,128
MA,01139,128
WI,53051,128
KS,66219,127
WI,54936,127
PA,19426,126
OH,44131,126
CA,90231,126
CA,91506,125
PA,19044,125
IL,60154,125
CA,95678,125
WI,54306,125
IL,60064,125
CT,06615,125
CA,95063,124
NY,13602,122
CA,94568,122
CA,95350,122
PA,19103,121
PA,15146,121
CO,80036,121
FL,33806,121
MN,55416,120
WI,54601,120
AR,72903,120
IN,46082,120
IN,47407,120
IA,50010,119
PA,17033,119
NY,11040,119
MA,01701,118
IA,51101,118
NJ,08057,117
MN,55401,117
CA,93550,117
UT,84057,117
PA,19381,117
VA,22485,117
OH,43085,116
MO,63303,116
UT,84107,116
CA,94701,116
OH,44122,115
CO,80631,115
OH,45069,115
GA,30096,115
MN,55435,115
CA,95015,114
UT,84132,114
NY,13057,114
NC,27536,114
MS,39213,114
OH,44124,114
PA,15108,113
TX,77551,113
NY,10965,113
CA,92662,113
MN,56308,112
NJ,08540,112
MN,55443,112
OR,97331,112
IA,52804,111
NJ,07039,111
ND,58507,111
GA,30342,111
FL,33906,111
CA,95677,111
KS,66102,110
TX,75046,110
TN,37027,109
CA,95404,109
CT,06492,109
NJ,08876,109
MO,65110,108
PA,16066,108
MN,55318,108
GA,31204,108
MA,02421,107
IN,47734,107
OH,45430,106
PA,17055,106
GA,30032,105
MN,55379,105
PA,19154,105
GA,30169,105
AR,72702,105
AR,72401,104
