,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01
mean_1.0_Post Age|AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,545.2,528.0,494.75,506.4444444444445,469.0,407.5,360.5,394.0,307.1428571428572,272.0,289.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_1.0_Post Age|AK,374.1176470588235,340.3636363636364,310.0,352.75,59.2,60.0,96.625,121.8333333333333,138.4117647058823,166.5,202.0909090909091,251.1428571428571,263.8,308.0,348.2857142857143,345.3333333333333,44.25,55.25,85.2,118.75,143.7142857142857,183.2,217.25,235.6666666666667,271.0,319.6666666666667,342.0,30.5,63.66666666666666,74.0,62.92307692307692,21.66666666666667,33.5,12.0,262.25,47.57142857142857,36.0,95.66666666666667,2.0,87.55555555555556,85.0,58.09090909090909,20.09090909090909,18.33333333333333,53.6,54.14285714285715,21.57142857142857,60.16666666666666,42.0,100.6,59.33333333333334,38.0,76.0,0.0,584.25,554.3333333333334,567.9090909090909,574.0,542.1428571428571,0.0,725.0,479.4285714285714,0.0,426.0,424.0,318.1111111111111,28.66666666666667,13.0,7.0,125.75,0.0,173.5,54.66666666666666,368.0,154.0,296.2,8.0,35.0,59.5,168.3333333333333,80.0,251.0,0.0,0.0,0.0,269.0,397.3333333333333,242.4,28.0,40.5,71.45454545454545,81.66666666666667,107.0,102.3333333333333,52.1,87.0,117.25,32.4,35.25,67.25,72.2,91.66666666666667,47.0,39.33333333333334,74.0,66.25,79.85714285714286,36.0,97.66666666666667,0.0,57.4,52.0,16.0,43.0,123.0,0.0,70.0,99.0
mean_1.0_Post Age|AL,431.1764705882353,343.2307692307692,378.1666666666667,372.0,12.0,240.5,89.81818181818181,110.65,137.6923076923077,163.1428571428571,208.625,240.5,488.6,376.375,336.25,436.7142857142857,52.4,53.0,102.3636363636364,366.8333333333333,523.5,265.125,230.7142857142857,242.5,320.8,321.6666666666667,365.6666666666667,46.125,60.0,0.0,45.09523809523809,43.75,49.16666666666666,129.8888888888889,38.75,53.11111111111111,131.625,48.88888888888889,21.4,21.22222222222222,73.57142857142857,44.0,45.0,48.83333333333334,54.8,46.0,57.0,42.66666666666666,61.66666666666666,48.2,38.5,74.2,62.5,34.0,605.8888888888889,0.0,518.5,480.0,503.5714285714286,431.0,442.5,440.0,366.6666666666667,354.0,658.3333333333334,424.0,54.8,0.0,7.0,30.36363636363636,23.0,91.0,102.6666666666667,72.42857142857143,85.75,180.6666666666667,55.4,48.625,52.66666666666666,61.85714285714285,47.33333333333334,0.0,100.6666666666667,97.75,120.6666666666667,112.0,73.5,89.0,173.8571428571429,74.0,55.66666666666666,66.6,54.25,27.0,333.0,55.66666666666666,16.5,78.77777777777777,34.83333333333334,31.6,16.5,32.4,33.6,74.0,63.08333333333334,82.46153846153847,72.25,22.22222222222222,42.83333333333334,59.66666666666666,109.1428571428571,22.5,25.0,35.0,11.0,31.66666666666667,34.5,34.66666666666666
mean_1.0_Post Age|AR,321.9,316.6,331.0,0.0,36.66666666666666,60.8,89.0,0.0,149.0,178.5,277.6666666666667,222.0,272.0,300.6,339.0,371.2,54.66666666666666,54.33333333333334,77.42857142857143,113.25,159.8,902.0,234.4,0.0,261.0,0.0,0.0,31.0,90.0,0.0,71.0,0.0,144.0,31.0,35.0,444.5,25.33333333333333,30.0,29.0,51.33333333333334,87.0,56.25,0.0,29.0,46.0,0.0,40.71428571428572,179.0,64.0,80.0,272.0,104.0,0.0,15.0,550.0,551.5,562.2,579.0,486.0,0.0,414.0,0.0,0.0,320.6666666666667,0.0,221.0,340.0,0.0,0.0,47.5,6.0,31.0,36.0,49.0,0.0,32.0,32.0,297.5,0.0,32.0,74.0,61.5,32.0,0.0,103.5,0.0,179.0,0.0,32.0,21.0,128.25,32.0,16.66666666666667,6.5,6.0,12.5,11.0,21.33333333333333,25.66666666666667,95.0,18.5,34.0,78.6,25.5,6.333333333333333,68.0,30.0,24.28571428571428,76.5,30.0,13.5,18.33333333333333,30.0,23.5,30.0,0.0,9.0,15.5
mean_1.0_Post Age|AVG,437.2755803719007,279.01024012697206,301.8830923401858,266.40476072583914,89.89637012616558,123.75875752599892,130.1679544311897,152.86901888960713,153.4698817528969,151.94799235430725,211.481688045798,288.13351294354754,279.61563463769346,300.62444384079333,270.83832866479923,374.9374844688621,45.543925140494935,70.84040640463338,97.53355976267741,157.6386071989013,372.7265534134824,364.22871956112715,197.60738458484997,245.21007040404365,184.83445657942562,218.84214017179326,254.90562915890337,28.514314892623712,118.67785558667912,44.03544266191325,132.97820576640476,41.745121621473615,38.37411531294486,36.74682060858532,41.29385405444229,35.407986272346136,28.94006309594545,19.00877192982456,46.848801384929466,41.62729566626625,38.92337123338424,37.37957027759259,34.342846651942416,26.972979835941533,33.5855939724151,32.79361639392599,33.29816472482713,28.8739884842826,27.228943877473288,46.05148476849442,33.31807080088814,24.155453946284396,18.661632653061226,9.971491228070176,365.20527417027415,388.70351883566167,366.704458434058,331.0596511865962,394.7218064764516,180.74820512820511,270.4338772631263,248.4911333111333,223.6550357322416,200.049733358429,224.25938228438227,236.4124283686046,44.47973322511423,22.179572333984098,59.64637502308848,46.29295215069436,32.7980681504875,32.41962347174694,42.21937917642422,47.828360951934286,35.90533047522914,46.17476327030235,46.53013059117753,34.54588153983655,33.81795492426702,41.37851133057035,73.8349126436572,33.7985638939966,37.35068354856545,40.84903779571654,97.53026177265177,85.46257964736851,73.11725242709554,39.842602667311446,48.785077522650624,48.25235896402483,96.76959455233448,56.919811981614366,125.99040444468828,74.58597466051067,41.97494852641911,41.66778987576916,36.77100199183533,30.559201368106596,79.05127780265711,36.18068031681866,95.04863609357862,53.0654453485472,62.16745538524351,34.91420515941715,72.2383042639722,73.02161054737637,40.86844874697472,45.324679769367876,30.815887187129015,30.614128255082793,80.2789530465012,42.46482183268531,29.921096522248813,40.00911289610968,28.842011256461767,29.616521473761694,57.85874521568966,68.3899656342664
mean_1.0_Post Age|AZ,309.6666666666667,0.0,358.3333333333333,0.0,0.0,0.0,48.0,164.0,129.5,160.0,194.5,228.5,255.0,320.0,0.0,0.0,92.0,0.0,91.0,144.0,155.0,223.6666666666667,268.6666666666667,0.0,247.0,286.0,0.0,0.0,68.0,0.0,30.0,25.0,32.0,35.6,24.16666666666667,29.0,93.0,68.6,111.25,6.888888888888889,28.0,27.33333333333333,21.66666666666667,23.25,16.25,21.0,29.0,25.33333333333333,38.0,66.0,17.0,24.5,22.0,27.0,587.0,544.0,499.8235294117647,516.0,0.0,0.0,398.0,368.0,358.3333333333333,304.0,0.0,387.0,25.6,25.5,19.0,26.88888888888889,39.25,24.125,37.5,49.57142857142857,29.66666666666667,102.8333333333333,30.6,30.0,37.2,28.33333333333333,30.66666666666667,20.8,19.0,21.2,104.8571428571429,84.25,53.27272727272727,39.0,22.4,24.5,24.83333333333333,0.0,19.875,33.5,32.0,18.6,29.66666666666667,24.0,24.44444444444444,15.4,31.25,53.42857142857143,246.8571428571429,44.93333333333333,56.07142857142857,70.64285714285714,29.77777777777778,26.85714285714286,56.18181818181818,50.25,36.8,22.28571428571428,56.0,62.66666666666666,26.38461538461538,25.625,363.1818181818182,19.5
mean_1.0_Post Age|Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_1.0_Post Age|BC,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,536.0,499.0,0.0,412.0,402.0,371.5,0.0,371.0,0.0,440.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_1.0_Post Age|CA,369.5904761904762,305.0,511.0952380952381,354.3333333333333,62.875,138.0,0.0,151.5714285714286,179.0,196.0,207.8571428571429,275.0,0.0,325.5,328.3333333333333,401.5,126.0,91.5,135.8333333333333,136.75,0.0,0.0,0.0,1650.8,0.0,339.0,363.8,0.0,233.0,0.0,692.2857142857143,59.0,0.0,0.0,61.0,58.0,0.0,59.0,60.0,0.0,0.0,59.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,58.0,0.0,0.0,578.1666666666666,556.4285714285714,500.1578947368421,490.5,626.0,0.0,399.0,429.0,372.0,323.25,301.0,230.1666666666667,0.0,0.0,1374.933333333333,30.4375,19.15,14.66666666666667,20.0,38.41176470588236,17.5,14.78947368421053,18.94117647058824,21.58823529411765,18.96666666666667,12.93877551020408,13.09459459459459,11.71794871794872,11.36363636363636,11.66666666666667,113.4,80.72222222222223,36.61538461538461,22.42307692307692,16.15,16.58333333333333,32.2,27.72727272727273,15.70588235294118,28.85714285714286,130.9285714285714,14.25,18.04761904761905,35.7,315.25,26.92307692307692,75.36363636363636,19.75,109.8333333333333,43.66666666666666,37.66666666666666,48.5,26.3,17.81818181818182,29.38461538461538,22.72727272727273,25.4375,429.6,25.18181818181818,13.45454545454546,36.18181818181818,22.66666666666667,75.8,24.0
mean_1.0_Post Age|CO,364.0,312.9230769230769,323.8076923076923,363.5909090909091,28.4375,45.0,72.45454545454545,125.75,168.6,190.4,220.5454545454545,239.2727272727273,265.75,314.4545454545454,323.9,372.4,62.33333333333334,63.58333333333334,95.21428571428571,119.8333333333333,146.0,162.2,214.3571428571429,242.3684210526316,281.7142857142857,327.5555555555555,353.0,0.0,65.6,71.33333333333333,102.7307692307692,28.80645161290322,28.42857142857143,38.6,30.13333333333333,28.91666666666667,43.77777777777778,39.11111111111111,28.11111111111111,33.9,60.5,31.72222222222222,28.57142857142857,33.55555555555556,24.41666666666667,29.73333333333333,29.33333333333333,33.5,49.69230769230769,40.1,37.22222222222222,28.4,27.85714285714286,16.75,584.6666666666666,561.0,504.2727272727273,491.4,489.75,406.5,401.0,390.0,410.6,0.0,289.0,210.8571428571429,29.44444444444444,32.7,34.5,27.25,32.90909090909091,41.83333333333334,19.42857142857143,35.92307692307692,56.5,89.3076923076923,18.93333333333333,30.0,25.83333333333333,13.47619047619048,15.40540540540541,36.48148148148148,87.58333333333333,34.73913043478261,107.2666666666667,73.4090909090909,52.19354838709678,26.09677419354839,22.125,17.67647058823529,32.76470588235294,20.0,15.70588235294118,28.27272727272727,18.53846153846154,25.05263157894737,33.41666666666666,23.64285714285714,27.42857142857143,28.70588235294118,346.4166666666667,76.44444444444444,32.07692307692308,23.71428571428572,40.08695652173913,42.2,116.6666666666667,34.18181818181818,38.42857142857143,25.94736842105263,37.09090909090909,26.25,21.0,22.28571428571428,24.26315789473684,15.38888888888889,28.66666666666667,29.75
