,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01
S&E|AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,69.0,65.0,53.0,126.0,20.0,102.0,110.0,121.0,122.0,205.0,710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&E|AK,551.0,203.0,284.0,250.0,248.0,242.0,228.0,286.0,200.0,178.0,224.0,250.0,211.0,255.0,290.0,274.0,224.0,223.0,214.0,196.0,220.0,349.0,359.0,378.0,305.0,223.0,297.0,428.0,336.0,134.0,920.0,509.0,346.0,411.0,448.0,305.0,405.0,402.0,310.0,371.0,337.0,433.0,362.0,365.0,278.0,367.0,330.0,266.0,314.0,252.0,249.0,282.0,209.0,119.0,323.0,222.0,365.0,185.0,524.0,74.0,296.0,358.0,302.0,423.0,491.0,1375.0,935.0,1457.0,746.0,1196.0,1156.0,1530.0,1528.0,2448.0,1117.0,1982.0,2910.0,2878.0,5005.0,3193.0,3010.0,3078.0,3104.0,3825.0,3453.0,2738.0,3275.0,1899.0,1916.0,1996.0,1863.0,1708.0,1527.0,1411.0,1936.0,1550.0,1448.0,1380.0,1448.0,1237.0,1598.0,1534.0,1542.0,1609.0,1187.0,1215.0,1108.0,1156.0,1332.0,1140.0,911.0,1185.0,1059.0,1126.0,1174.0,1220.0,1062.0,1080.0
S&E|AL,3639.0,1440.0,1290.0,865.0,1202.0,1254.0,1337.0,1532.0,1263.0,1267.0,1387.0,1432.0,1328.0,1333.0,1183.0,1304.0,1227.0,1373.0,1442.0,1418.0,1349.0,1489.0,1671.0,1811.0,1640.0,1381.0,2063.0,1253.0,1561.0,500.0,4772.0,1867.0,1683.0,1869.0,2167.0,1784.0,2002.0,1812.0,1499.0,2097.0,1989.0,2526.0,2088.0,2073.0,1710.0,1845.0,2196.0,1608.0,1817.0,1490.0,1287.0,1382.0,1216.0,518.0,2316.0,1236.0,1467.0,1306.0,2360.0,587.0,1737.0,1428.0,1554.0,1564.0,1632.0,4886.0,2213.0,2407.0,1469.0,2846.0,2884.0,3508.0,3758.0,5316.0,2291.0,4309.0,5336.0,5657.0,8031.0,6843.0,6093.0,5803.0,5987.0,7212.0,6221.0,5202.0,5478.0,4043.0,4423.0,4656.0,4424.0,4275.0,3419.0,3204.0,3961.0,3208.0,3126.0,2853.0,2628.0,2586.0,3121.0,2810.0,3087.0,3068.0,2471.0,2638.0,2480.0,2706.0,3027.0,2745.0,2258.0,2684.0,2733.0,2805.0,3015.0,2645.0,2604.0,2672.0
S&E|AR,1338.0,609.0,594.0,586.0,620.0,617.0,637.0,791.0,484.0,385.0,958.0,602.0,520.0,536.0,427.0,364.0,455.0,556.0,713.0,514.0,666.0,604.0,646.0,629.0,644.0,477.0,782.0,816.0,646.0,294.0,2284.0,856.0,823.0,851.0,1133.0,916.0,1020.0,1021.0,815.0,966.0,720.0,967.0,860.0,709.0,710.0,804.0,851.0,657.0,715.0,759.0,632.0,624.0,528.0,248.0,669.0,372.0,510.0,496.0,962.0,206.0,1080.0,1190.0,1070.0,1338.0,1145.0,2717.0,1749.0,1334.0,710.0,1606.0,1643.0,1776.0,2252.0,3099.0,1406.0,2377.0,3420.0,3653.0,6318.0,4844.0,4069.0,3998.0,3954.0,4853.0,4426.0,3661.0,3684.0,3209.0,3244.0,2984.0,3200.0,2736.0,2360.0,2150.0,2551.0,2315.0,2190.0,1977.0,2096.0,1987.0,2222.0,2372.0,2409.0,2443.0,2078.0,2037.0,2048.0,2013.0,2357.0,1918.0,1714.0,2160.0,2106.0,2068.0,2174.0,2062.0,1938.0,2642.0
S&E|AVG,6799.9607843137255,2663.0196078431372,3575.901960784314,2729.843137254902,3037.2156862745096,2802.3529411764707,2702.9803921568628,3486.392156862745,2710.6666666666665,3059.529411764706,3358.074074074074,3365.6862745098038,3035.294117647059,3388.1960784313724,2700.392156862745,2820.4901960784314,2608.529411764706,2574.3333333333335,3339.921568627451,2599.3333333333335,2856.6666666666665,2612.3333333333335,2698.1176470588234,3715.450980392157,2585.7843137254904,2112.9803921568628,3312.450980392157,2115.9803921568628,2206.705882352941,984.9803921568628,8538.941176470587,3023.901960784314,3003.627450980392,2802.1176470588234,3173.156862745098,2715.7843137254904,2977.705882352941,1793.5,3618.549019607843,3193.9411764705883,2557.470588235294,3433.549019607843,2761.1176470588234,2908.176470588235,2774.549019607843,2860.529411764706,3117.0392156862745,2571.156862745098,2922.9607843137255,2847.0,2268.549019607843,1681.7450980392157,1803.9714285714285,874.3947368421053,2603.8153846153846,1734.1587301587301,1886.5151515151515,1687.969696969697,2891.3939393939395,702.0153846153846,2860.208955223881,2841.6666666666665,2901.75,3284.8115942028985,3127.353846153846,7684.212121212121,4313.921568627451,3088.470588235294,2038.4117647058824,5111.294117647059,4641.431372549019,5580.941176470588,6031.754716981132,7665.018518518518,3883.8888888888887,6410.277777777777,7577.685185185185,8395.796296296296,10350.925925925925,9092.12962962963,9140.981481481482,8126.555555555556,8181.722222222223,8661.333333333334,8166.2037037037035,6917.037037037037,6859.222222222223,5333.907407407408,5425.611111111111,5669.055555555556,5276.388888888889,4985.611111111111,4384.925925925926,4192.759259259259,4729.259259259259,4012.3888888888887,3651.5185185185187,3458.240740740741,3424.0555555555557,3711.1296296296296,4205.611111111111,4006.8518518518517,4082.185185185185,4143.5,3398.5555555555557,3459.185185185185,3266.5,3393.0185185185187,3770.962962962963,3295.4074074074074,2908.9074074074074,3491.9814814814813,3477.9814814814813,3588.3703703703704,3618.296296296296,3569.925925925926,3240.3518518518517,3407.8518518518517
S&E|AZ,5638.0,2336.0,3137.0,2119.0,2591.0,2474.0,2487.0,3198.0,2559.0,2441.0,3523.0,2787.0,2771.0,2914.0,2487.0,2409.0,2120.0,2759.0,2996.0,2530.0,2787.0,2636.0,2798.0,3111.0,2388.0,1878.0,3260.0,2522.0,2532.0,1009.0,3971.0,3442.0,3733.0,3557.0,4121.0,3358.0,3376.0,3178.0,3000.0,3692.0,2919.0,3830.0,3229.0,3637.0,3359.0,3127.0,3566.0,3087.0,3415.0,3269.0,2854.0,3224.0,2591.0,1311.0,3903.0,2366.0,2876.0,2336.0,3720.0,849.0,4068.0,3758.0,4038.0,4427.0,4229.0,10471.0,4479.0,3254.0,2149.0,5182.0,5494.0,5868.0,7163.0,8707.0,4220.0,6939.0,8297.0,9010.0,11200.0,10151.0,9838.0,9214.0,8559.0,9339.0,8327.0,7150.0,6994.0,5354.0,5321.0,6348.0,5772.0,5208.0,4711.0,4308.0,5214.0,3981.0,4070.0,3892.0,3724.0,3852.0,4496.0,4299.0,4794.0,4511.0,3772.0,3767.0,3635.0,3768.0,4165.0,3519.0,3123.0,3686.0,3865.0,3714.0,4179.0,3886.0,3769.0,3533.0
S&E|Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&E|BC,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,103.0,112.0,117.0,220.0,53.0,180.0,213.0,254.0,155.0,352.0,1522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&E|CA,44900.0,15317.0,21252.0,16993.0,12956.0,13234.0,7553.0,26649.0,233.0,26898.0,16548.0,21942.0,16640.0,18339.0,11071.0,17702.0,15751.0,5692.0,24528.0,244.0,259.0,216.0,198.0,26228.0,184.0,136.0,217.0,99.0,142.0,27.0,37657.0,195.0,190.0,133.0,219.0,142.0,203.0,155.0,173.0,183.0,144.0,169.0,141.0,141.0,125.0,64.0,36.0,290.0,156.0,130.0,72.0,120.0,52.0,15.0,19967.0,12091.0,13579.0,11383.0,19560.0,5172.0,23733.0,22896.0,23973.0,28793.0,23488.0,60760.0,138.0,70.0,13296.0,20649.0,22030.0,26292.0,28326.0,34688.0,17346.0,28866.0,32000.0,35725.0,36441.0,37852.0,39972.0,32285.0,32106.0,31885.0,29624.0,25169.0,28652.0,16562.0,15917.0,18233.0,15522.0,14663.0,13962.0,12482.0,14990.0,13025.0,13018.0,12182.0,10854.0,13093.0,14841.0,13741.0,13778.0,13897.0,12289.0,11567.0,10738.0,11897.0,14015.0,11866.0,10257.0,12421.0,12536.0,12693.0,13947.0,12958.0,12705.0,13150.0
S&E|CO,11059.0,4719.0,5817.0,4941.0,5704.0,5128.0,5378.0,7545.0,5495.0,5253.0,6292.0,6319.0,6236.0,5743.0,6244.0,5284.0,5202.0,6731.0,7657.0,6661.0,6851.0,6089.0,6715.0,9132.0,7501.0,4519.0,8215.0,4591.0,6086.0,2283.0,16186.0,6926.0,6872.0,6308.0,7248.0,6870.0,7964.0,6930.0,6017.0,7212.0,5833.0,7722.0,7090.0,7913.0,6658.0,6833.0,7506.0,6497.0,7524.0,6877.0,6079.0,6413.0,4701.0,1916.0,7061.0,4664.0,5932.0,5218.0,8758.0,2114.0,9290.0,8990.0,10197.0,10762.0,9757.0,19095.0,7669.0,6523.0,3164.0,10618.0,7230.0,9822.0,9930.0,14920.0,7481.0,11737.0,12922.0,14592.0,13476.0,14362.0,14532.0,14189.0,14100.0,14225.0,13616.0,11717.0,11228.0,9698.0,9203.0,10498.0,9314.0,9029.0,8687.0,7582.0,8683.0,8407.0,7617.0,6029.0,3940.0,8688.0,7507.0,7270.0,6895.0,7155.0,6145.0,6184.0,6034.0,6333.0,6774.0,6436.0,5847.0,6545.0,6249.0,6826.0,6647.0,6037.0,5121.0,4008.0
