,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01
mean_S&E-related_Post Age|AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.6410256410256,568.0,552.8833333333333,525.8909090909091,478.7529411764706,439.1904761904762,425.6461538461538,384.7758620689655,376.4375,357.5862068965517,309.3125,305.2756410256411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_S&E-related_Post Age|AK,358.8770287141074,316.043583535109,357.2785714285714,380.8854166666667,59.49191374663073,104.4961479198767,125.5214979195562,137.7004830917874,162.1273792093704,194.7625482625483,219.1879194630872,249.3530120481928,291.8236559139785,319.984520123839,365.1433566433566,383.1982300884956,66.542071197411,83.48245614035088,107.9034205231388,138.712158808933,171.6163522012579,215.0944741532977,240.7052023121387,266.5906976744186,305.7004504504504,338.4048780487805,359.0578231292517,45.1280193236715,119.3613861386139,74.67283950617283,128.4694029850746,54.93043478260869,58.09108910891089,63.0561555075594,53.09565217391305,55.54042553191489,50.91535433070866,47.77753779697624,48.81163434903047,52.97614314115308,47.48866498740554,48.2241054613936,44.95238095238095,42.04022988505747,47.81012658227848,43.67220902612826,42.03493449781659,37.58225108225108,39.02836879432624,47.74772727272727,38.08564231738035,37.20531400966183,27.91549295774648,33.87356321839081,615.0819366852886,624.4461077844311,558.1931818181819,515.5411764705882,493.9755351681957,449.2021276595744,438.2837078651685,397.425641025641,384.462915601023,339.277108433735,399.1037037037037,264.2051582649473,37.14871794871795,28.02227171492205,29.0316742081448,63.46290322580645,61.77714285714286,67.27428571428571,57.87939698492463,66.1929347826087,89.1774193548387,75.42985074626866,62.66508875739645,56.69385342789598,52.09002433090024,56.00766283524904,77.17288557213931,78.59412304866851,251.8125623130608,70.87796208530806,123.9799833194329,108.6769420468557,81.75280898876404,61.47666666666667,67.55372807017544,54.41260162601626,70.93857758620689,62.85989304812834,57.16075156576201,49.59285714285714,52.71225071225071,51.5700365408039,47.76403425309229,45.52161383285303,53.35326842837274,64.14497041420118,135.2813267813268,57.64027538726334,49.6885043263288,55.28440366972477,60.03571428571428,48.30181818181818,41.50851063829787,53.23275862068966,50.60661157024794,53.39019607843137,45.74393530997305,56.51106639839034,61.76043956043956,65.93763440860215,56.87633587786259,51.41197822141561,78.67182130584193,45.82659932659933
mean_S&E-related_Post Age|AL,375.0246987951807,322.7680995475113,340.9330769230769,414.0757268424611,107.3806275579809,98.51038575667656,106.5350274725275,138.2709410548087,157.1001866832607,194.1473451327434,223.3767605633803,251.250265674814,286.9332129963899,314.8510514018691,350.0524475524476,379.8267716535433,69.89061566049014,72.34329307056579,98.93051031487514,133.2350427350427,165.0006944444444,197.0768761439902,233.966816647919,259.3776027011818,292.2669196710942,323.72049689441,361.0567729083666,45.22783687943262,102.0115606936416,73.01125401929261,97.00448207171314,48.11753846153846,42.76963011031798,72.94391934467549,42.96690307328605,40.59723964868256,46.34780092592592,46.91846921797005,43.69904761904762,60.54030966364122,44.81045241809672,47.13715455475947,44.58017298735862,42.58210645526614,41.61694058154235,40.15372424722663,44.95165745856354,41.81427343078246,40.03776553894571,47.14589442815249,43.8185443668993,43.94976303317536,31.57835400225479,24.06060606060606,610.8744216787838,612.1221765913758,555.9214765100671,557.3391521197008,495.0320967069612,446.3965884861407,446.6711087420043,408.1381842456609,533.1982204646564,352.2537659327926,333.1329201101929,273.8703334992534,38.96152183311716,37.8271186440678,25.63892288861689,66.26445951336258,55.37355848434926,62.06289542240417,40.95665851101013,52.61507595299513,72.00366300366301,59.82025512176266,53.59604715672677,48.65829986613119,55.46529473317056,51.88949152542373,56.83080040526849,56.30809992429977,56.08107167710508,52.94509655433548,119.9666570020296,104.5719489981785,79.05786026200873,62.01718464351006,55.41924824452705,50.25573888091822,54.9963418689724,54.9669054930058,49.60546173194395,54.04604409857328,117.9823838080959,63.55337227827934,50.81140350877193,42.51638477801269,51.80878378378378,57.55215827338129,133.0960698689956,51.36307311028501,61.43148844707147,54.80151780502043,56.48676565526146,53.89458186101296,48.20706757594544,44.16533864541832,54.6351418616227,44.35840108401084,52.39950779327317,52.09102322661645,52.37805684071381,63.33072188024622,65.17461832061069,72.66249319542733,63.46531038080334,67.08780760626398
mean_S&E-related_Post Age|AR,358.7073170731707,331.7048648648649,343.0162393162393,380.4663265306123,72.04408163265306,84.31031613976705,108.2798861480076,148.3409992069786,157.8108695652174,183.4034682080925,240.4771802982377,258.3926829268293,289.9842738205365,334.3275623268698,350.3358288770053,382.9613861386139,79.0532598714417,82.87751531058618,105.5174887892377,135.8928974069898,167.8292079207921,196.3678373382625,236.0499001996008,271.4727773949,292.9186046511628,333.1668437832093,363.9644171779141,75.00092250922509,109.5755182625864,75.80257510729614,138.2922920376494,54.6697247706422,50.81449525452977,56.03537214443626,47.56380823767724,50.00960698689956,46.55405405405406,49.78456014362657,50.13736263736264,44.70906200317965,41.364694471387,39.38150684931507,39.30521739130435,46.54578488372093,42.27565733672604,36.42541924095322,42.85602503912363,33.78622540250447,35.76211849192101,41.91850828729282,36.56182212581345,29.48709122203098,22.2974358974359,16.08267716535433,617.906941266209,587.9747191011236,555.2532894736842,510.2669208770257,472.4490634993148,441.2792362768496,431.3590733590734,395.3145441892833,394.2759544541192,337.9796437659033,332.5109983079526,274.0812117305833,33.92244593586875,24.66876122082585,22.45616883116883,62.36450960566228,64.92753623188406,48.67707781895183,57.06686626746507,65.00348101265823,70.7938808373591,65.44295991778006,65.62801273306049,69.57742061936496,56.77772944758591,62.46918123275069,73.40845704003598,68.34283000949668,76.56409025444071,97.44650787242632,120.5530805687204,116.7812879708384,78.05681220410311,61.07838479809976,66.64673913043478,61.22278911564626,64.86189258312021,72.8625,59.94977168949772,66.51771286513362,66.46784291405805,56.68898488120951,55.31824817518248,51.48321048321048,55.34413965087282,63.12193126022913,129.5531385954009,56.3520325203252,59.58510638297872,50.90388848129127,50.55879752431476,52.7050919377652,48.32176121930567,44.2491554054054,50.53416605437179,52.27603725656223,58.58193277310924,54.01109467455621,55.56462035541195,58.43760399334442,50.18073878627968,46.55547169811321,62.36552217453505,59.67683686176837
mean_S&E-related_Post Age|AVG,364.4874117783054,325.3070773939352,342.672894142879,399.9353336177371,91.82573942506203,92.22885327639129,108.97893119022186,135.46362748772663,159.45514846012057,189.21645325532333,217.77934480593763,254.46620007698166,286.7280332449078,317.68383641788694,348.34895561395786,379.8057107830699,67.59654193404972,79.06210817969277,110.86106200352026,134.2196683373216,166.7387715126722,203.07941584584788,234.07126327132409,289.98623065741197,290.7568801886425,329.03040869625517,362.45735934774734,58.73779893007529,101.46972645950667,77.64584225833056,118.9525994548297,47.49409734824402,46.28815810773739,56.28362952244263,43.373066917362976,44.99993283961753,35.43634093360383,31.102256475148028,60.933004917337286,47.546363344949995,46.18792213136818,45.36369589276077,44.808714885469726,43.367051004836824,42.505703614259254,39.42630062057937,40.32861881413552,38.83007150125544,39.685069713426195,42.01310831878645,36.81619933669005,28.991143663678486,28.812853086958253,20.68125419781267,592.145869004698,585.3906076479996,526.804571474596,497.0190557304392,451.6523058607429,427.41617828415303,411.80854971058767,383.7236485171321,407.27606209580654,322.66965331019117,317.89648594140124,254.99143315924866,33.93090944652651,30.105263249743285,62.07226789838757,63.24149199409008,60.33854429894848,57.43737963327762,50.22178164975128,55.07389227410654,65.19777317921414,62.420709644152616,58.65774290344211,55.68379351707835,54.43605017497079,57.151903964634094,69.07164600538196,61.17179011536282,73.44947174629927,62.36995452444955,129.65627538015667,110.34966775748492,83.8172512138184,65.94481310990399,74.69525449579574,67.04090449665279,73.28153257239234,68.53912064014177,69.41681193812917,60.1540165768045,79.56786886942075,53.143747757605766,52.07967208459071,51.07488657371525,54.691105061382295,62.54862580730351,102.3928759671209,63.08328552652753,60.66060895878437,56.666462961124886,56.49722161107635,54.142957421983816,51.781503990472366,51.31531471495808,54.77525391975615,55.40826455911483,62.477193906058616,63.06961741221426,58.60247009639391,61.81331829636949,56.90803623397445,53.473181026297155,59.946533984429564,54.01096617318112
mean_S&E-related_Post Age|AZ,366.5122470713525,328.3911739502999,337.1818803418803,389.9358171571697,107.1184210526316,95.02527690996875,107.8362378976487,132.8411595591758,161.726978523095,187.6663401893568,223.8578991362496,251.8790432182658,285.8647830474268,315.1985930735931,345.4106182795699,378.8491331611951,59.6550925925926,76.08731082654249,99.34432488719195,125.9854856717529,157.5590062111801,197.3912111468381,229.3609259908804,258.6927689594356,286.1444444444444,323.8680751173709,358.5447852760736,69.36439267886855,89.10982391102873,70.88419782870929,48.25679758308157,40.91608853650479,32.4720861900098,30.32427142235755,40.14771622934888,51.69826875515251,45.33741888968998,42.44243792325057,42.40340673036975,43.889662027833,45.63075690828995,43.26241134751773,41.03427128427128,40.58247734138973,41.47564662411824,38.28576576576577,40.77744718833681,40.34012368133867,43.52158164805312,43.92152736019242,41.72760917838638,35.72904191616767,26.09426038264116,18.80215827338129,607.5648831488315,592.2383113935542,548.8605678233439,514.0021865889213,481.0146824694853,441.6832101372756,422.3998875140608,392.3814492753623,446.4634321223709,337.357590966123,320.7269544924154,269.9980742778542,33.16113120683985,36.11975789018591,24.8242542153048,60.06816123188405,50.13892264074524,53.49177412183192,56.26076421248835,55.82788671023965,66.68849557522124,68.51125635439361,59.02143977688687,59.09353625170998,59.84804655029094,58.56687431293514,76.91703127532004,57.87764705882353,56.82530012542555,58.17090717669767,132.7795613477432,116.7120799273388,85.9214463840399,79.4478672985782,66.35460824005716,62.13562753036437,68.83409563409563,56.97534668721109,63.67271352985639,60.32745535714286,78.27680798004988,62.22682190599397,52.14233498172436,43.40231828060855,48.48756756756757,59.4811320754717,103.354571197411,60.69863718179481,48.22490706319702,55.04153354632588,50.01526195899772,44.40356294536817,46.76108870967742,46.58912529550827,48.71253602305475,45.82995194874533,54.38727752142386,54.92817116658176,47.12571273418409,48.47472924187726,49.68020202020202,46.54429771908764,58.64296444667001,49.57655381505811
mean_S&E-related_Post Age|Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_S&E-related_Post Age|BC,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.8717948717949,581.2105263157895,580.6176470588235,534.859649122807,484.6216216216216,473.25,429.8421052631579,427.46,378.3725490196078,328.4027777777778,310.1149425287356,328.7962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_S&E-related_Post Age|CA,375.3776719843622,331.7607050285122,349.0529753265602,420.417914767383,123.139014871849,121.2310208794381,125.5741515574151,156.5150804097751,165.6752136752137,205.2927027605393,236.1813046937152,274.0211911929638,306.6538461538461,362.6308557969118,387.3652035539053,424.7294496349219,143.4982498157701,172.6304408873912,312.9613752928512,128.1156069364162,174.6091370558376,203.680412371134,237.4756097560976,1646.321598921609,302.3614457831325,330.9464285714286,364.9266666666667,91.0,112.32,66.57142857142857,820.1101418667646,87.34,64.32432432432432,69.87878787878788,71.11940298507463,67.05960264900662,62.60130718954248,53.68292682926829,86.88888888888889,60.47457627118644,54.91935483870968,51.01020408163265,47.25806451612903,54.8,53.49230769230769,41.88571428571429,14.8,83.23655913978494,51.42028985507246,60.78260869565217,61.18333333333333,46.60655737704918,33.61111111111111,17.83333333333333,625.3215023231802,609.6178623718887,553.8006366530241,520.5977310574522,481.7812260731969,445.6620791349226,424.8448275862069,391.3184300341297,472.8142888963136,331.8311088866644,324.2759967118783,287.0360813035826,47.6140350877193,39.91489361702128,1289.548472775565,61.01626060771968,46.93663102831184,50.67202316999112,48.3303028918635,54.37816438842535,62.10398230088496,63.38641697633484,63.00751776927282,60.00183876108364,61.44683789008561,60.67694006164037,69.40851748021109,67.26665037869533,117.6715016641001,72.34908852194113,138.7587627842319,120.7186590688652,94.22514767932489,67.56687898089172,67.90851410961388,62.75122741042515,71.03804048682038,67.20427025446037,74.86299337748345,75.17624148003895,114.8999943307444,103.9888079470199,50.74179272078737,55.70463391349049,58.00470514429109,68.86743877764599,96.18188330294348,63.48474682062885,50.58004713275727,58.21071601857628,52.34806367308149,53.73821752265861,51.1052164798839,51.85912402352321,50.82458084053475,49.05497065126246,51.8287933916806,57.25995316159251,58.03668879056047,52.59655320982336,55.15496889456053,57.35809682804675,54.09963687893012,53.64819316156215
mean_S&E-related_Post Age|CO,341.1221785048664,317.9723444374607,337.7411737198971,373.1829303815904,58.91898202194724,69.78310393925013,96.94739005343197,121.6663208852005,150.2208802456499,179.8669853304764,210.1681343770385,237.4717887154862,271.3098761183758,305.9341503026724,331.1007404520655,364.6793804900601,48.67877320419694,59.87521968365554,90.75257731958763,120.9403105464811,148.2898400166216,186.2701210448078,220.637408568443,243.8556137012369,273.6623862158648,324.4215027489309,356.3045091853776,37.6475268073331,79.83110636023517,75.35607537361923,76.64284208306978,35.67371466726019,36.3592190889371,34.85604060913705,41.95074869204402,45.52170439414115,42.28748910200523,37.93691882382508,37.14728682170543,35.27953245461328,35.02036884117809,35.51073246293428,34.60679732076408,35.92805755395683,34.70535312640576,38.2069241544927,35.97529880478088,33.96003633060854,34.66968964127368,36.61121983039791,35.89690996270645,30.45684058667949,26.44015957446809,16.17712177121771,599.3282879934548,577.6722460101207,544.9511412268188,506.4060020696792,466.6528141361256,435.9340753424657,414.9964137410344,384.5386586928663,371.6749202776215,325.3178061607813,309.3191256830601,236.0564133016627,28.32074554294976,29.52348141432457,27.83036084612194,40.09472515269294,48.7835,44.00375234521576,42.26197076612903,47.77529626253418,47.24974891195179,46.51424974247453,47.50218843584427,47.45292712066906,48.40994016363415,49.0947265625,47.94663984855656,46.54095808383234,65.33160199612995,40.66155380970196,122.142060575339,96.40619442797866,67.72476784898767,49.97362110311751,49.15532286212915,43.6839429634222,49.12465478282702,44.29219530949635,50.41452384028944,46.82689636010003,54.47555091928543,46.95369757904485,46.29809725158562,44.82217689597626,54.51481387693087,50.21109010712036,53.64832193414983,43.87729957805907,47.11091321243524,43.40967584297117,44.56312238997752,42.74657210401891,40.35987002437043,50.13360012313375,41.71798284531204,43.10827796731909,47.01863484087102,50.2507199078518,47.45785876993166,49.03794249951105,49.14025599423112,45.90135797812146,60.6606650744075,58.37601376259524
