,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01
postings_seen|AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,171.0,245.0,200.0,421.0,88.0,304.0,284.0,342.0,359.0,477.0,1540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postings_seen|AK,2684.0,859.0,1140.0,1149.0,1290.0,1143.0,1228.0,1411.0,1143.0,867.0,1053.0,1360.0,895.0,1164.0,1048.0,1033.0,1014.0,893.0,958.0,841.0,909.0,1194.0,1092.0,1023.0,954.0,800.0,1162.0,1008.0,947.0,377.0,2888.0,1437.0,1156.0,1151.0,1281.0,1004.0,1146.0,1116.0,889.0,1146.0,962.0,1300.0,1144.0,1247.0,1023.0,1056.0,1025.0,939.0,979.0,908.0,847.0,910.0,667.0,367.0,1046.0,730.0,1091.0,520.0,1468.0,201.0,786.0,832.0,835.0,934.0,1011.0,2560.0,1701.0,2084.0,1030.0,2060.0,1923.0,2424.0,2364.0,3492.0,1602.0,2843.0,3939.0,3944.0,6074.0,4221.0,4059.0,4385.0,4360.0,4963.0,4924.0,3804.0,4390.0,3063.0,3143.0,3336.0,3163.0,2977.0,2889.0,2764.0,3372.0,2694.0,2800.0,2341.0,2423.0,2185.0,2769.0,2452.0,2686.0,2559.0,1948.0,2012.0,1780.0,1838.0,2171.0,1830.0,1482.0,1876.0,1690.0,1803.0,2032.0,2012.0,1876.0,1870.0
postings_seen|AL,9018.0,3313.0,3452.0,3018.0,3693.0,4062.0,3908.0,4747.0,3845.0,4559.0,4410.0,4208.0,3784.0,3939.0,3243.0,3208.0,3679.0,3743.0,4456.0,4377.0,4032.0,4279.0,4663.0,5107.0,4388.0,3701.0,5565.0,3295.0,3929.0,1364.0,11825.0,4764.0,4483.0,4617.0,5151.0,4497.0,4936.0,4112.0,3421.0,5314.0,4359.0,5892.0,4838.0,5185.0,4574.0,4496.0,5028.0,4041.0,4346.0,3868.0,3223.0,3400.0,2897.0,1349.0,5155.0,2696.0,3721.0,3213.0,6075.0,1327.0,4560.0,3650.0,4332.0,4000.0,3844.0,10985.0,5495.0,4575.0,2609.0,6726.0,6573.0,7470.0,7898.0,10444.0,4421.0,8244.0,9623.0,10264.0,12471.0,11321.0,10699.0,9761.0,10695.0,11356.0,11059.0,9265.0,9516.0,8206.0,8150.0,8896.0,8862.0,8682.0,7666.0,7597.0,8214.0,6458.0,6370.0,5878.0,5136.0,5483.0,6896.0,5744.0,6320.0,5951.0,5103.0,5599.0,5168.0,5380.0,6275.0,5316.0,4470.0,5317.0,5310.0,5668.0,6364.0,5636.0,5623.0,5607.0
postings_seen|AR,5342.0,1982.0,2356.0,2012.0,2510.0,2361.0,2267.0,2775.0,1953.0,1630.0,3979.0,2547.0,2098.0,2571.0,1762.0,1795.0,2083.0,2272.0,2483.0,1963.0,2099.0,2405.0,2247.0,2558.0,2336.0,1740.0,2903.0,2636.0,2135.0,984.0,7663.0,2795.0,2663.0,2880.0,3472.0,2642.0,2998.0,2727.0,2366.0,2906.0,2284.0,3140.0,2665.0,2703.0,2489.0,2537.0,2794.0,2340.0,2380.0,2702.0,1908.0,2313.0,1915.0,952.0,2427.0,1434.0,2168.0,1980.0,3882.0,778.0,3125.0,3051.0,3017.0,3387.0,2784.0,6787.0,3617.0,2946.0,1559.0,4323.0,4532.0,4380.0,5198.0,7277.0,3200.0,5071.0,6352.0,7176.0,9520.0,7849.0,7293.0,7051.0,7031.0,8311.0,7654.0,6244.0,6442.0,6204.0,5820.0,5917.0,6104.0,5387.0,5193.0,4657.0,5342.0,4687.0,4329.0,3982.0,4033.0,4028.0,4714.0,4381.0,4634.0,4697.0,4049.0,4338.0,3996.0,4040.0,4623.0,3922.0,3418.0,4488.0,4187.0,3992.0,4544.0,4255.0,4189.0,5288.0
postings_seen|AVG,15943.901960784313,5868.333333333333,8074.843137254902,6420.78431372549,7280.607843137255,6716.078431372549,6747.450980392156,8354.372549019608,6531.078431372549,7510.64705882353,7971.666666666667,7979.058823529412,7101.137254901961,8192.764705882353,6208.549019607844,6403.607843137255,6147.666666666667,6039.625,7754.333333333333,6430.980392156863,6795.254901960784,6498.78431372549,6650.9607843137255,8615.64705882353,6421.78431372549,5274.254901960784,8279.058823529413,5115.019607843137,5420.137254901961,2510.392156862745,19637.058823529413,7428.156862745098,7398.333333333333,7201.549019607844,8007.117647058823,6322.980392156863,7005.78431372549,4105.684210526316,8309.29411764706,7561.274509803921,6099.705882352941,8275.627450980392,6948.725490196079,7683.490196078431,7296.823529411765,7145.862745098039,7704.470588235294,6259.823529411765,7182.686274509804,6943.568627450981,5594.431372549019,4631.470588235294,4438.942857142857,2202.815789473684,6064.6,4126.730158730159,4854.909090909091,4421.333333333333,7894.863636363636,1808.7692307692307,6600.268656716418,6297.424242424242,6881.367647058823,7017.144927536232,6697.584615384615,16615.045454545456,9243.666666666666,6654.254901960784,4243.823529411765,11914.137254901962,10775.058823529413,12425.117647058823,13066.754716981131,16495.777777777777,8491.12962962963,13227.407407407407,14845.648148148148,16602.98148148148,18002.537037037036,16374.166666666666,17208.666666666668,15463.87037037037,15800.074074074075,16038.851851851852,15895.722222222223,13583.092592592593,13666.055555555555,12267.518518518518,12148.833333333334,13079.981481481482,12146.462962962964,11806.0,11121.351851851852,10930.444444444445,12003.666666666666,10151.592592592593,9208.907407407407,8492.62962962963,8428.703703703704,9161.777777777777,10316.0,9266.0,9461.925925925925,9564.814814814816,8400.37037037037,8745.074074074075,8062.0,8372.62962962963,9104.277777777777,7957.037037037037,7449.555555555556,8330.722222222223,8000.425925925926,8629.092592592593,8983.092592592593,8866.444444444445,8453.444444444445,8561.777777777777
postings_seen|AZ,13884.0,5315.0,6800.0,5819.0,7089.0,6795.0,7054.0,8418.0,6822.0,6313.0,8159.0,7388.0,6581.0,7685.0,6222.0,5849.0,4990.0,6212.0,7108.0,6295.0,6329.0,6520.0,6815.0,7154.0,5671.0,4778.0,7631.0,5983.0,5723.0,2192.0,9390.0,7669.0,9034.0,9193.0,9554.0,6960.0,7342.0,6904.0,6463.0,7973.0,6368.0,8521.0,7336.0,8289.0,7487.0,7089.0,8211.0,6925.0,7909.0,7622.0,6483.0,7098.0,5709.0,2832.0,8303.0,5268.0,7049.0,6141.0,11238.0,2240.0,8921.0,8436.0,9471.0,9559.0,8894.0,20559.0,9720.0,6649.0,4279.0,11445.0,12360.0,12287.0,14662.0,18196.0,8915.0,14523.0,16192.0,17191.0,19399.0,17716.0,18238.0,17958.0,16521.0,17239.0,16760.0,13504.0,13625.0,12605.0,11506.0,13531.0,12598.0,12050.0,12247.0,11125.0,13587.0,11129.0,10592.0,9700.0,9003.0,9858.0,11533.0,9859.0,10449.0,10981.0,9992.0,9833.0,9350.0,9722.0,10157.0,8890.0,7710.0,9376.0,9025.0,9171.0,10782.0,9559.0,9228.0,9042.0
postings_seen|Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postings_seen|BC,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,199.0,223.0,242.0,430.0,116.0,340.0,353.0,427.0,354.0,662.0,2403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postings_seen|CA,86000.0,28353.0,39361.0,33928.0,25646.0,26476.0,15943.0,48791.0,648.0,55749.0,32845.0,43266.0,32403.0,37767.0,21068.0,34350.0,29925.0,10572.0,45764.0,578.0,633.0,432.0,422.0,51234.0,397.0,320.0,615.0,220.0,266.0,56.0,66949.0,437.0,445.0,297.0,579.0,400.0,490.0,330.0,351.0,396.0,317.0,408.0,329.0,350.0,335.0,171.0,74.0,723.0,348.0,296.0,192.0,267.0,120.0,39.0,39662.0,23977.0,28476.0,24411.0,45429.0,10664.0,43448.0,41344.0,46164.0,50501.0,42571.0,107351.0,368.0,153.0,26728.0,45415.0,50965.0,55105.0,57370.0,72413.0,36482.0,56287.0,61264.0,68200.0,66004.0,67184.0,72365.0,60057.0,60367.0,59160.0,56972.0,48373.0,52530.0,40261.0,38243.0,44208.0,37657.0,37846.0,38784.0,34257.0,39252.0,34352.0,33440.0,30462.0,27766.0,31899.0,35547.0,31173.0,31100.0,32756.0,29022.0,29051.0,27272.0,27486.0,32461.0,26499.0,24332.0,28162.0,27170.0,28640.0,30903.0,29283.0,28505.0,29557.0
postings_seen|CO,24530.0,9507.0,12268.0,9826.0,11985.0,11027.0,12335.0,15250.0,12264.0,13094.0,14556.0,14217.0,13978.0,14393.0,13382.0,11187.0,10459.0,13706.0,15167.0,13608.0,13579.0,12749.0,14586.0,19806.0,15606.0,9468.0,16220.0,9016.0,11509.0,4446.0,30549.0,13820.0,13609.0,13384.0,15040.0,12530.0,15038.0,13096.0,11455.0,13469.0,11131.0,14729.0,13477.0,15167.0,13479.0,14376.0,15327.0,13098.0,14826.0,13622.0,11708.0,12658.0,9139.0,4156.0,13767.0,8448.0,10568.0,9879.0,17777.0,3840.0,16671.0,15528.0,17756.0,17854.0,17175.0,35395.0,16473.0,14140.0,6478.0,23446.0,15907.0,21246.0,21260.0,30637.0,15691.0,23866.0,24961.0,26853.0,25502.0,26441.0,27061.0,26576.0,27828.0,26346.0,25414.0,21873.0,21170.0,19857.0,18844.0,22385.0,20607.0,20311.0,19834.0,17987.0,19764.0,19440.0,17030.0,13393.0,9145.0,19937.0,16578.0,15813.0,15621.0,15878.0,14899.0,15031.0,14501.0,15240.0,16063.0,14209.0,12788.0,14059.0,12991.0,14220.0,14276.0,13481.0,12526.0,9339.0
