,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01
mean_Postsecondary - STEM_Post Age|AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,473.0,457.0,441.5,405.5,377.0,363.0,342.8,263.0,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_Postsecondary - STEM_Post Age|AK,313.8461538461539,305.25,330.375,367.8,21.5,103.6666666666667,82.66666666666667,142.0454545454545,178.0,166.0,198.7692307692308,228.4545454545455,275.0,291.8,401.9807692307692,466.3,26.42857142857143,83.0,167.5,244.0,151.0,266.1111111111111,285.5555555555555,248.0,317.0,345.3333333333333,399.0,49.4,448.0,78.5,282.0833333333333,154.8125,110.5,159.6111111111111,142.4285714285714,214.8571428571429,100.2,107.8421052631579,77.33333333333333,53.16666666666666,82.94117647058823,50.55555555555556,125.5,71.66666666666667,90.71428571428571,69.0,54.75,41.25,37.5,158.4666666666667,56.57142857142857,113.6666666666667,23.0,0.0,663.3,831.8571428571429,779.2068965517242,869.0833333333334,538.9166666666666,714.0,560.6,412.4,454.5,395.4,380.0,326.5769230769231,53.5,27.75,25.5,215.8125,157.5,142.75,50.8,95.6,84.4,221.5714285714286,98.42857142857143,150.5714285714286,118.75,190.0,183.8461538461538,222.6363636363636,318.9090909090909,276.75,199.8333333333333,158.0909090909091,122.0,136.6666666666667,102.8235294117647,135.8181818181818,165.3,204.9444444444445,255.8,189.2857142857143,143.25,109.4545454545455,131.0,35.0,105.6,87.0,78.35714285714286,156.9076923076923,11.0,26.0,62.0,20.0,0.0,280.0,0.0,0.0,0.0,0.0,90.66666666666667,0.0,85.0,0.0,52.5,83.0
mean_Postsecondary - STEM_Post Age|AL,488.9263157894737,431.5,415.8888888888889,466.3125,130.875,99.33333333333333,110.6923076923077,120.6,188.421052631579,214.1621621621622,359.875,279.4864864864865,299.9411764705882,336.4782608695652,409.9545454545454,431.0769230769231,131.6363636363636,127.0833333333333,120.5217391304348,137.4117647058823,192.9565217391304,203.5357142857143,234.5833333333333,298.0645161290323,321.1451612903226,350.7115384615385,366.3043478260869,17.63636363636364,99.8,54.0,166.0,37.04545454545455,50.21739130434783,25.92592592592593,32.19047619047619,100.2413793103448,47.34615384615385,47.92857142857143,45.33333333333334,72.68181818181819,30.72727272727273,49.8421052631579,71.9375,41.50574712643678,91.63636363636364,30.35,30.55,75.61904761904762,80.88461538461539,43.28571428571428,35.0,23.75,21.14285714285714,0.0,636.6,681.8571428571429,564.5,612.8461538461538,593.7222222222222,0.0,542.5555555555555,407.125,373.0,413.6666666666667,681.875,335.4313725490196,57.66666666666666,22.66666666666667,50.0,54.33333333333334,93.35483870967742,1051.8,35.71428571428572,57.55555555555556,745.8,71.88888888888889,48.6,80.375,88.76923076923077,77.0909090909091,105.5454545454545,64.06666666666666,117.4117647058823,32.6,101.4285714285714,115.6666666666667,99.53846153846153,118.75,70.5,71.75,119.4761904761905,64.07142857142857,128.6470588235294,62.07692307692308,94.8,91.5,68.8,66.4,152.5,60.0,99.33333333333333,68.33333333333333,43.65217391304348,28.8,14.83333333333333,60.0,118.8571428571429,9.0,74.6,211.0,55.0,57.0,27.5,57.28571428571428,56.16666666666666,65.4,42.5,45.33333333333334
mean_Postsecondary - STEM_Post Age|AR,322.375,327.8518518518518,324.5416666666667,366.3571428571428,51.41379310344828,99.8125,97.6,154.6,142.25,163.05,194.0645161290323,290.4615384615385,300.6363636363636,338.7272727272727,343.75,371.5185185185185,42.42857142857143,55.69230769230769,91.81818181818181,138.6,140.1818181818182,179.1538461538462,215.6666666666667,244.75,286.4761904761905,333.65,352.8571428571428,126.44,70.55172413793103,58.33333333333334,62.89583333333334,39.83333333333334,31.88,31.65217391304348,26.28571428571428,51.5,49.03333333333333,41.0,39.39285714285715,30.25423728813559,29.23255813953488,39.4074074074074,41.0,24.05714285714286,14.61538461538461,28.09090909090909,29.27777777777778,27.15,29.81132075471698,39.78125,37.5,17.20833333333333,13.21951219512195,9.416666666666666,617.2272727272727,579.75,514.1111111111111,514.5625,471.5625,419.4,395.2,362.3571428571428,350.75,351.1111111111111,313.0,255.96,19.5,18.88888888888889,15.8,36.3,18.8,45.75,63.375,57.33333333333334,35.6,46.55555555555556,65.5,32.54545454545455,22.96153846153846,25.31578947368421,45.84,38.46428571428572,43.90909090909091,64.94117647058823,144.5,132.8571428571429,87.33333333333333,56.71428571428572,46.1,78.25,100.0,78.4,37.0,62.61538461538461,37.0,42.625,38.33333333333334,71.66666666666667,166.5,84.06666666666666,36.73333333333333,31.73076923076923,25.25,30.76470588235294,33.61111111111111,47.33333333333334,17.5,72.875,58.58333333333334,40.0,60.65384615384615,34.21428571428572,27.76923076923077,44.41666666666666,79.0,29.5,34.76923076923077,60.3
mean_Postsecondary - STEM_Post Age|AVG,410.0640617383821,338.9929934900412,354.0057397068061,400.1679525265533,122.2593114549523,112.43115697640219,125.13696326463355,159.01031647380393,176.99934335854502,198.09642554419557,283.66531622657,281.061114257093,310.02059628006117,333.11648960361686,356.2157070205363,392.49253279059815,83.07232346512617,87.11822435850239,122.25599942645378,150.79733595320508,171.6807787587057,201.24173485972474,219.61363538534673,272.9304462674625,280.3098682860854,315.40673672454176,340.4241461682815,67.8538480693283,165.21190355188534,67.97283456864687,222.27829499335348,66.87294262217566,62.81065624757153,63.19075426836299,61.787608463281586,73.71496014836934,66.03808763870927,50.31837092872524,96.02392832975659,65.31927874062924,61.49958474955793,49.19231208839926,65.99723060042045,42.89350537880587,53.75996853210833,51.27880138820284,49.56045376848127,50.64097612139697,50.616265589051324,53.79498494168317,40.570945926426774,32.06836898766772,29.972112156351372,16.74898668224447,606.3817643869812,573.5781485967593,559.5901138753808,530.7861570637127,504.4752220867468,405.36505520551293,476.7729108926516,400.47940308635356,407.20409038541516,381.73040281160473,365.1949699954706,323.9325281800488,43.979009401237654,30.252353448725103,79.91966795930253,116.85214189731819,107.0295173452892,167.95405932496593,95.87626655851975,87.4461915625054,92.9400147042649,88.03266594336017,88.64588300830435,92.01698758307103,86.3549139108248,90.86086963007484,116.96473871277873,101.15408770065467,102.70876074252818,100.86787924241142,163.06639443312764,139.01993211359442,123.7174595218978,112.91220364316517,121.16702229720515,147.45169708773133,142.16570817660056,129.2962909842127,177.00545642784925,126.5884564965183,91.77872559150255,100.46149133877991,111.52170026273994,80.57701495000998,95.23225580956215,108.90075274754632,148.37847514572138,129.97241711017904,100.79694914561085,98.117666133622,97.81500581726726,103.64943906438576,91.88961629652385,96.85410582901396,110.23418799024245,89.67623300360368,73.53747627619795,87.40438794809134,90.88535491352567,118.51737333845765,107.58247759376361,79.97820620061303,86.858689200398,93.41264816370257
mean_Postsecondary - STEM_Post Age|AZ,419.5168539325843,387.6111111111111,364.8125,478.6923076923077,180.1724137931035,125.5,119.0333333333333,184.7,161.6888888888889,184.0714285714286,290.65625,291.6764705882353,274.375,353.2857142857143,357.25,390.8235294117647,64.65,78.4,101.4583333333333,126.9166666666667,211.55,211.0740740740741,236.1818181818182,279.3529411764706,278.0588235294118,339.8571428571428,366.4,152.0909090909091,61.42857142857143,72.33333333333333,71.98148148148148,54.94444444444444,6.264150943396227,6.343358395989975,32.5,74.9,53.76666666666667,69.41176470588235,165.7272727272727,61.05263157894737,32.45454545454545,81.66666666666667,39.46666666666667,51.79166666666666,31.6,31.42857142857143,79.375,63.0,44.63636363636363,81.66666666666667,55.33333333333334,82.8,24.5625,41.35294117647059,617.6440677966102,676.28,558.7,528.8225806451613,567.7246376811594,445.8947368421053,405.547619047619,383.9818181818182,370.7685185185185,342.8611111111111,380.6829268292683,286.9444444444445,24.39024390243902,39.84070796460177,13.23529411764706,49.2436974789916,35.45214521452145,56.54166666666666,45.74683544303797,48.58918918918919,61.33333333333334,75.44705882352942,53.1125,52.78767123287671,53.59615384615385,51.6144578313253,95.6283185840708,59.78443113772455,30.18536585365853,22.035,159.6436781609195,112.1735537190083,78.18627450980392,67.85333333333334,77.183908045977,71.59162303664921,47.60330578512396,51.5440414507772,47.37128712871287,47.64102564102564,54.59615384615385,42.81081081081081,46.8688524590164,34.95,54.06756756756756,60.5981308411215,131.0786516853933,45.86904761904762,35.5566037735849,65.32222222222222,56.58823529411764,36.48571428571429,72.54320987654322,46.82142857142857,58.01282051282051,39.50370370370371,128.2282608695652,76.76666666666667,63.08333333333334,72.12727272727273,55.92105263157895,55.79381443298969,65.43,60.25
mean_Postsecondary - STEM_Post Age|BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.0,,0.0,,,,,,,398.3870967741935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_Postsecondary - STEM_Post Age|CA,486.6231578947368,428.2960893854749,443.4334763948498,464.0217391304348,159.9344262295082,174.1304347826087,194.0967741935484,220.4875,148.0,267.2679045092838,306.0108695652174,340.2899022801303,382.8023255813953,577.491961414791,400.1234567901234,469.9285714285714,254.7127071823204,128.6857142857143,500.3093525179856,147.0,181.0,0.0,0.0,1647.664893617021,318.0,308.5,336.5,31.5,438.0,0.0,970.2364130434783,258.6666666666667,178.0,175.0,230.25,158.0,161.2857142857143,189.0,0.0,0.0,61.0,19.0,15.0,0.0,10.0,10.0,2.0,274.7368421052632,72.2,62.0,25.0,39.85714285714285,40.0,0.0,668.471264367816,641.0897435897435,696.719512195122,574.2352941176471,535.7073170731708,529.9565217391304,621.2027027027027,520.7826086956521,448.0172413793103,361.4565217391304,359.123076923077,341.972972972973,0.0,0.0,1368.1,170.2035398230088,88.71621621621621,391.910447761194,54.26923076923077,83.3529411764706,92.7,95.73417721518987,116.4838709677419,100.0810810810811,114.1184210526316,131.3833333333333,153.608,194.1666666666667,174.1379310344828,76.2127659574468,171.5079365079365,191.2830188679245,120.32,124.9397590361446,159.1794871794872,152.125,125.7333333333333,127.3947368421053,363.4893617021277,235.0335570469799,178.2931034482759,138.462962962963,159.5633802816901,70.10344827586206,122.6122448979592,164.7083333333333,191.9519230769231,147.2857142857143,72.59358288770053,162.6142857142857,174.1351351351351,197.0652173913043,83.88888888888889,117.3478260869565,114.6904761904762,129.7027027027027,128.0,137.7142857142857,128.68,141.5797101449275,151.0769230769231,133.0289855072464,169.86,240.7933884297521
mean_Postsecondary - STEM_Post Age|CO,456.0550458715596,314.4758620689655,326.6692913385827,343.9323671497585,41.59905660377358,39.64949928469242,68.98044328552803,93.4585020242915,129.1046931407942,159.6377171215881,195.3987915407855,216.0460829493088,253.6735870818916,281.1335341365462,312.8180862250263,342.4507722007722,44.13849765258216,38.38963730569948,69.21792260692465,98.06400839454355,128.3906605922551,160.6738853503185,195.2671594508976,233.4332717190388,253.8885774351787,342.1311475409836,368.5975609756098,34.36363636363637,183.58,64.44444444444444,263.6722972972973,125.3888888888889,111.3191489361702,93.20689655172414,114.5333333333333,128.0461538461539,98.54716981132076,106.3650793650794,84.47747747747748,103.2321428571429,81.09803921568627,63.8,87.88372093023256,60.35227272727273,57.56896551724138,64.42465753424658,64.265625,67.90625,51.22222222222222,47.99,32.45555555555556,30.81578947368421,47.48979591836735,25.02325581395349,683.828947368421,631.6380952380953,677.2954545454545,597.435294117647,518.25,459.4358974358975,437.390243902439,406.1195652173913,396.2892561983471,343.0126582278481,354.241935483871,293.1863354037267,28.09285714285714,32.9041095890411,56.80645161290322,62.94736842105263,76.9010989010989,66.27857142857142,69.45161290322581,55.3578431372549,60.72727272727273,88.28735632183908,59.01183431952663,60.64563106796116,63.71005917159763,94.31884057971014,59.84090909090909,66.66120218579235,195.9980506822612,46.34351145038168,110.6947368421053,118.5174825174825,75.2072072072072,68.20197044334975,55.13812154696133,58.89671361502347,90.06134969325153,105.1614583333333,82.19463087248322,90.3688524590164,246.1742738589212,81.65274725274725,60.22839506172839,44.39310344827586,64.15238095238095,85.77272727272727,63.80099502487562,53.24444444444445,69.74778761061947,79.63861386138613,77.50335570469798,102.437125748503,66.37931034482759,151.5592783505155,48.8562091503268,45.72448979591837,50.06637168141593,79.80084745762711,75.7867132867133,56.72777777777777,97.18994413407822,61.15384615384615,58.76229508196721,115.1551724137931
mean_Postsecondary - STEM_Post Age|CT,449.4117647058824,344.5555555555555,335.6923076923077,371.0,113.4,97.0,120.4,211.25,0.0,220.0,637.0909090909091,240.5384615384615,288.25,305.5,387.4,373.375,46.95,93.8,105.8888888888889,162.3,170.6666666666667,268.875,254.8333333333333,277.4,297.5,310.3333333333333,360.5,48.5,66.5,0.0,115.3333333333333,33.66666666666666,39.6,59.125,88.0,32.3,0.0,25.66666666666667,20.6,73.25,57.25,58.6,42.44444444444444,19.52631578947368,34.75,69.0,44.25,43.4,33.0,39.8,30.5,35.63636363636363,18.25,18.5,601.5555555555555,711.1666666666666,547.7777777777778,487.0,465.0,0.0,453.1666666666667,386.5,373.0,341.6,471.0,271.1666666666667,38.66666666666666,15.25,65.0,47.0,44.33333333333334,0.0,122.0,77.83333333333333,68.5,73.2,83.66666666666667,120.2173913043478,75.0,73.36363636363636,290.0,115.2307692307692,80.66666666666667,53.1,134.3333333333333,101.9285714285714,116.0833333333333,138.9090909090909,131.5294117647059,63.85,91.71428571428571,99.6,89.23076923076923,93.27777777777777,63.1875,246.962962962963,53.85714285714285,52.875,82.85185185185185,65.54166666666667,72.8,59.66666666666666,70.07407407407408,93.29411764705883,86.36842105263158,103.1666666666667,65.47619047619048,86.0,120.4166666666667,127.0909090909091,85.78571428571429,185.65,252.8,81.5,80.1,95.5,129.4666666666667,108.0909090909091
